Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
trehalose-6-phosphate hydrolase	treC	b4239	4463054	4464709	trehalose-6-phosphate hydrolase
fatty acid oxidation complex, &beta; component	fadA	PP_2137			acetyl-CoA <em>C</em>-acyltransferase // 3-oxopantanoyl-CoA thiolase
glucokinase	glcK	glcK			glucokinase
methionine&mdash;tRNA ligase	metG	b2114	2194300	2196333	L-homocysteine cyclase // methionine&mdash;tRNA ligase // methionine&mdash;tRNA ligase
dimethylarginine dimethylaminohydrolase 1	DDAH1	DDAH1	85784168	86044046	dimethylarginine dimethylaminohydrolase
acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase	lpxA	b0181	202560	203348	acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase
icosapentaenoate synthase	pfaA // pfaB // pfaC // pfaD // pfaE				icosapentaenoate synthase
L-tryptophan ammonia lyase					L-tryptophan ammonia lyase
UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase	waaJ	b3626	3800983	3801999	lipopolysaccharide glucosyltransferase
anthranilate N-methyltransferase	SAD9	SAD9			anthranilate N-methyltransferase
3,4-dihydroxybenzoate-[aryl-carrier protein] ligase	asbC	asbC			3,4-dihydroxybenzoate-[aryl-carrier protein] ligase
2,3-diaminopropionate ammonia-lyase	ygeX	b2871	3007510	3008706	2,3-diaminopropionate ammonia-lyase
chalcone reductase	GEPKR-1	GEPKR-1			chalcone reductase
<i>N</i>-acetylmuramoyl-L-alanine amidase	cwlD	BSU01530	156612	157325	<i>N</i>-acetylmuramoyl-L-alanine amidase
fukutin	FKTN	FKTN	100063920	100146894	&beta;GalNAc-(1&rarr;3)-&beta;GlucNAc-(1&rarr;4)-P-6-<i>O</i>-&alpha;Man-[protein] ribitol 5-phosphate transferase
mannan &alpha;-1,3-mannosidase	BT_2629	BT_2629			mannan &alpha;-1,3-mannosidase
dihydroorotate dehydrogenase, type 1B	pyrK // pyrDB				dihydroorotate dehydrogenase
glutamate N-acetyltransferase	ARG7	S000004666	395053	396378	L-glutamate <em>N</em>-acetyltransferase // acetylornithine acetyltransferase
3,5-dimethylorsellinate synthase	andM	andM			3,5-dimethylorsellinate synthase
BadI	badI	badI			2-ketocyclohexanecarboxyl-CoA hydrolase
phycoerythrobilin synthase	pebS	pebS			phycoerythrobilin synthase
histone-lysine <em>N</em>-methyltransferase KMT3E	KMT3E	KMT3E			[histone-H3]-lysine-4 <i>N</i>-methyltransferase
glycerone-phosphate <em>O</em>-acyltransferase	GNPAT	GNPAT	227116764	227153325	glycerone-phosphate <em>O</em>-acyltransferase
sulfoacetaldehyde reductase (NADPH)	isfD	isfD			sulfoacetaldehyde reductase
tryptophan decarboxylase	tdc1	tdc1			tryptophan decarboxylase
methylaspartase subunit					3-methylaspartase
phosphoribosylformylglycinamide synthetase	purL	b2557	2691656	2695543	phosphoribosylformylglycinamide synthetase
broad specificity amino-acid racemase	bsrV	FY484_RS06640	1393735	1394958	ornithine racemase // leucine racemase // glutamine racemase // serine racemase // asparagine racemase // methionine racemase // cysteine racemase // histidine racemase // lysine racemase // arginine racemase // amino acid racemase // alanine racemase
antigen O:8 terminal mannose 3-<i>O</i>-methyltransferase	wbdD<sub>O8</sub>	wbdD<sub>O8</sub>			&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;3)-&beta;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)]<sub>n</sub>-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;GlcNAc-PP-Und 3-<i>O</i>-methyltransferase
tetracenomycin E C-9 O-methyltransferase	tcmP	tcmP			tetracenomycin E C-9 O-methyltransferase
NAD-specific homoserine dehydrogenase	09240	JFQ02_09240			homoserine dehydrogenase
succinate dehydrogenase (electrogenic, proton-motive force generating)	sdhC // sdhA // sdhB		2908129	2908737	succinate dehydrogenase (electrogenic, proton-motive force generating)
(16<i>S</i>,17<i>Z</i>)-4&beta;-demethyl-4&beta;-carboxy-16-hydroxy-protosta-17(20),24-dien-3&beta;-ol 16-<i>O</i>-acetyltransferase	fusD	fusD			(16<i>S</i>,17<i>Z</i>)-4&beta;-demethyl-4&beta;-carboxy-16-hydroxy-protosta-17(20),24-dien-3&beta;-ol 16-<i>O</i>-acetyltransferase
caldariellaquinol oxidase SoxM complex	soxE // soxF // soxG // soxH // soxI // soxM				caldariellaquinol oxidase
UDP-<em>N</em>-acetylglucosamine&mdash;dolichyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase	ALG7	YBR243C	705447	706793	UDP-<em>N</em>-acetylglucosamine&mdash;dolichyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase
15-<em>cis</em>-phytoene synthase	crtB	SYNPCC7942_RS10060	2054486	2055412	15-<em>cis</em>-phytoene synthase
luteolin 7-O-glucuronosyltransferase					luteolin 7-O-glucuronosyltransferase
L-arabinose reductase LarA	larA	larA			D-xylose reductase // L-arabinose reductase
malolactic enzyme	mleA	mleA			(S)-malate decarboxylase
2-nitroimidazole nitrohydrolase	nnhA	nnhA			2-nitroimidazole nitrohydrolase
polyneuridine aldehyde synthase	SBE	SBE			polyneuridine aldehyde synthase
N-acetylglucosamine-6-phosphate deacetylase subunit	nagA	nagA			<i>N</i>-acetylglucosamine-6-phosphate deacetylase
glutathione-specific gamma-glutamylcyclotransferase	GCG1	YER163C	503084	503782	glutathione-specific gamma-glutamylcyclotransferase
pyruvate decarboxylase	PDC3	Cre03.g165700.t1.2			pyruvate decarboxylase
8-demethylnovobiocic acid synthase	cloL	cloL			8-demethylnovobiocic acid synthase
TrsI non-ribosomal peptide synthase	trsI	trsI			triostin A dithiol synthase
germacrene A hydroxylasee	GAO1	GAO1			germacrene A hydroxylase
trehalose phosphorylase subunit	TSase	TSase			trehalose phosphorylase
3-ketosphinganine reductase					3-ketosphinganine reductase
deoxypodophyllotoxin 6-hydroxylase					deoxypodophyllotoxin 6-hydroxylase
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase &delta;-1	PLCD1	PLCD1	37320955	37343036	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
diacylglycerol/phytol acyltransferase	slr2103	slr2103	1571731	1572615	diacylglycerol <em>O</em>-acyltransferase // phytol <em>O</em>-acyltransferase
actinomycin synthase II	acmB	acmB			3-hydroxy-4-methyl-anthranilate pentapeptide lactone synthase
fructose-1,6-bisphosphatase/inositol-1-monophosphatase	imp	imp			1-(<i>sn</i>-glycero-3-phospho)-3-phospho-1D-myo-inositol1-(<i>sn</i>-glycero-3-phospho)-3-phospho-1D-myo-inositol 3-phosphatase // bis(1L-<i>myo</i>-inositol) 3,1'-phosphate 1-phosphate phosphatase // fructose-1,6-bisphosphatase // 1D-myo-inositol-2-monophosphatase // 1D-myo-inositol-1-monophosphatase // 1D-myo-inositol-3-monophosphatase
jasmonoyl-L-amino acid 12-hydroxylase	CYP94B3	CYP94B3			jasmonoyl-phenylalanine-12-hydroxylase // jasmonoyl-isoleucine-12-hydroxylase
cytosolic enolase					enolase
glutamate mutase	mamA // mamB				glutamate mutase
squalene synthase-like 2	SSL-2	SSL-2			Botryococcus squalene synthase
ATP sulfurylase asubunit	sat	sat			sulfate adenylyltransferase
medium-chain acyl-CoA dehydrogenase	ACADM	ACADM	75125319	75164225	decanoyl-CoA dehydrogenase // medium-chain acyl-CoA dehydrogenase
chitin deacetylase 2	CDA2	CDA2	747937	748875	chitin deacetylase
UDP-<i>N,N'</i>-diacetylbacillosamine 2-epimerase	neuC	lpg0753			UDP-<i>N,N'</i>-diacetylbacillosamine 2-epimerase
D-sorbitol dehydrogenase / NAD-xylitol dehydrogenase	xdh1	xdh1			D-sorbitol dehydrogenase // NAD-xylitol dehydrogenase
[sulfur carrier protein TtuB] adenylyltransferase	ttuC	ttuC			[sulfur carrier protein TtuB] adenylyltransferase
UDP-arabinopyranose mutase 1	UAM1	UAM1			UDP-arabinopyranose mutase
(16<i>R</i>)-<i>ent</i>-kauran-16-ol synthase	ptmT3	ptmT3			(16<i>R</i>)-<i>ent</i>-kauran-16-ol synthase
<i>myo</i>-inositol polyphosphate kinase	Ipk	Ipk			<i>myo</i>-inositol polyphosphate kinase // <i>myo</i>-inositol polyphosphate kinase
phosphoglucomutase	pgm	YE2967			phosphoglucomutase
&beta;-carotene 15,15&prime;-dioxygenase	BCO1	BCO1			&beta;-carotene 15,15&prime;-dioxygenase
spinosyn forosaminyltransferase	spnP	spnP			spinosyn forosaminyltransferase // spinosyn forosaminyltransferase
2-dehydro-3-deoxy-D-gluconate kinase	kdgK	kdgK			2-dehydro-3-deoxy-D-gluconate kinase
(<i>S</i>)-2-hydroxyglutarate oxidase	lhgO	PP_2910	3308886	3310136	(<i>S</i>)-2-hydroxyglutarate oxidase
cis-toluene dihydrodiol dehydrogenase	todD	todD			<i>cis</i>-toluene dihydrodiol dehydrogenase
peptidyl-tRNA hydrolase, ribosome rescue factor	arfB	b0191	214833	215255	peptidyl-tRNA hydrolase
<i>O</i>-carbamoyl-deacetylcephalosporin C hydroxylase	cmcJ	cmcJ			<i>O</i>-carbamoyl-deacetylcephalosporin C hydroxylase
(S)-hydroxynitrile lyase					(2R)-2-hydroxy-2-methylbutanenitrile lyase (cyanide forming) // acetone cyanohydrin lyase (cyanide forming)
cysteine desulfurase	iscS	TT_C0087			cysteine desulfurase
2-keto-3-deoxy-L-lyxonate dehydratase	kdlD	PA2216			2-keto-3-deoxy-L-lyxonate dehydratase
L-sorbose 1-phosphate reductase	sorE	sorE			L-sorbose 1-phosphate reductase
glucosamine-6-phosphate <i>N</i>-acetyltransferase 1	Gnpnat1	Gnpnat1	44298298	44310673	glucosamine-6-phosphate acetyltransferase
galactose-1-epimerase	galM	b0756	787797	788837	galactose-1-epimerase
[amino group carrier protein]-lysine/ornithine hydrolase	lysK	Saci_0756			L-2-aminoadipate carrier protein]-L-lysine lysine-hydrolase // L-2-aminoadipate carrier protein]-L-ornithine ornithine-hydrolase
soyasapogenol glucuronosyltransferase					soyasapogenol glucuronosyltransferase
N-carbamoylputrascine amidohydrolase subunit	aguB	aguB			<i>N</i>-carbamoylputrescine amidohydrolase
8-demethyl-8-(2,3-dimethoxy-&alpha;-L-rhamnosyl)-tetracenomycin-C 4'-O-methyltransferase	elmMIII	elmMIII			8-demethyl-8-(2,3-dimethoxy-&alpha;-L-rhamnosyl)-tetracenomycin-C 4'-O-methyltransferase
16S rRNA m<sup>5</sup>C967 methyltransferase	rsmB	b3289	3435207	3436496	16S rRNA m<sup>5</sup>C967 methyltransferase
arsenate reductase	arsC	arsC			arsenate reductase
(2E,5S)-5-amino-2-benzyl-4-oxo-6-phenylhex-2-enoate dehydrogenase	ktmF	H340_08821			(2E,5S)-5-amino-2-benzyl-4-oxo-6-phenylhex-2-enoate dehydrogenase
3-hydroxy-4-methylanthranilate adenylyltransferase	acmA	acmA			3-hydroxy-4-methylanthranilate adenylyltransferase
homophytochelatin synthase	PCS1	PCS1			homophytochelatin synthase
1-pyrroline-5-carboxylate dehydrogenase	rocA	rocA			1-pyrroline-5-carboxylate dehydrogenase
3&beta;-tigloyloxytropane synthase	TS	TS			pseudotropine acyltransferase // 3&beta;-benzoyloxytropane synthase // 3&beta;-acetoxytropane synthase // 3&beta;-tigloyloxytropane synthase
UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine dehydrogenase	wbpV	wbpV			UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine dehydrogenase
mycothiol-dependent formaldehyde dehydrogenase	fadH	cg0387			ethanol dehydrogenase // mycothiol-dependent formaldehyde dehydrogenase
L-galactonate dehydratase	LGD1	LGD1			L-galactonate dehydratase
Erg12	ERG12	ERG12	684466	685797	mevalonate kinase
molybdenum cofactor insertion chaperone XdhC	xdhC	xdhC			molybdenum cofactor insertion chaperone XdhC
L-tryptophan isonitrile synthase 2	ambI2	ambI2			L-tryptophan isonitrile synthase
glutamate racemase	murI	Rv1338			glutamate racemase
&beta;-glucosidase					lotustralinase (&beta;-glucosidase) // linamarase (&beta;-glucosidase)
GGE dehydrogenase	ligD	ligD			(+)-(&alpha;<i>R</i>,&beta;<i>S</i>)-guaiacylglycerol-&beta;-guaiacyl ether dehydrogenase // (-)-(&alpha;<i>R</i>,&beta;<i>R</i>)-guaiacylglycerol-&beta;-guaiacyl etherdehydrogenase
oxygen-insensitive NADPH-dependent nitroreductase	rdxA	HP0954	1013553	1014185	nitrofurantoin nitroreductase // nitrofurazone nitroreductase // oxygen-insensitive NADPH nitroreductase
oxaloacetate tautomerase	ycgM	b1180	1228079	1228738	OAA tautomerase
alginate lyase II	aly	aly			guluronate-specific alginate lyase
threonine deaminase	ilvA	b3772	3955331	3956875	threonine deaminase
sucrose diacyl 3'-<i>O</i>-acyltransferase	ASAT3	ASAT3			sucrose 3-lauroyl-4-isovaleroyl-3'-isobutyryltransferase // sucrose 3-lauroyl-4-isovaleroyl-3'-(2-methyl)butyryltransferase // sucrose 3-lauroyl-4-isovaleroyl-3'-acetyltransferase // sucrose 3-(2-methyl)butyryl-4-isovaleroyl-3'-isovaleroyltransferase // sucrose 3-lauroyl-4-isovaleroyl-3'-isovaleroyltransferase // sucrose 3-isobutyryl-4-isovaleroyl-3'-isovaleryltransferase // sucrose 3-decanoyl-4-isovaleroyl-3'-isovaleryltransferase
glucosamine 6-phosphate N-acetyltransferase	GNA1	GNA1	5144096	5144545	glucosamine-6-phosphate acetyltransferase
4-hydroxybenzoate polyprenyltransferase	ubiA	XC_0402			4-hydroxybenzoate octaprenyltransferase
protein-lysine deacetylase/desuccinylase/delipoylase	cobB	b1120	1179520	1180359	protein-lysine deacetylase // protein-lysine delipoylase
methylmalonyl-CoA mutase	Msed_2055 // Msed_0638				methylmalonyl-CoA mutase
non-ribosomal peptide synthetase FbsE	fbsE	E5A72_RS01990	394081	396591	non-ribosomal peptide synthetase FbsE // non-ribosomal peptide synthetase FbsE // non-ribosomal peptide synthetase FbsE
phycocyanobilin lyase CpcS1	cpcS1	alr0617			phycoerythrobilin:C-phycoerythrin-Cys-&beta;84 lyase // phycocyanobilin:phycoerythrocyanin-Cys-&beta;84 lyase // phycocyanobilin:allophycocyanin-Cys-&alpha;84 lyase // phycocyanobilin:allophycocyanin-Cys-&beta;84 lyase // phycocyanobilin:phycocyanin-Cys-&beta;84 lyase
isoflavone 3'-hydroxylase					isoflavone 3'-hydroxylase
flavonol synthase/flavanone 3-dioxygenase	FLS1	FLS1			kaempferol synthase // naringenin 3-dioxygenase
5,10-methylenetetrahydrofolate dehydrogenase [multifunctional]	AF030516	AF030516			5,10-methylenetetrahydrofolate:NADP+ oxidoreductase // 5,10-methenyltetrahydrofolate 5-hydrolase (decyclizing) // 5,10-methenyl-tetrahydropteroyl-[&gamma;-Glu] 5-hydrolase (decyclizing)
bifurcating benzoyl-CoA reductase complex	bamB // bamC // bamD // bamE // bamF // bamG // bamH // bamI				benzoyl-CoA reductase complex (NAD<small><sup>+</sup></small>, ferredoxin)
CMP-<i>N</i>-acetylneuraminate-&beta;-galactosamide &alpha;-2,3-sialyltransferase 4	ST3GAL4	ST3GAL4	127738844	127823500	type 2 precursor disaccharide &alpha;-2,3-sialyltransferase // neolactotetraosylceramide &alpha;-2,3-sialyltransferase
4-coumaroyl 2-hydroxylase	C2'H	IbF6H2-1-1			caffeoyll 2-hydroxylase // 4-feruloyl 2-hydroxylase // 4-coumaroyl 2-hydroxylase
<em>N</em>-acetylglucosaminyldiphosphoundecaprenol <em>N</em>-acetyl-&beta;-<small>D</small>-mannosaminyltransferase	tarA	BSUW23_17555			<em>N</em>-acetylglucosaminyldiphosphoundecaprenol <em>N</em>-acetyl-&beta;-<small>D</small>-mannosaminyltransferase
thiol methyltransferase	SABATH1	SABATH1			thiobenzoate-S-methyltransferase // thiophenol-S-methyltransferase // furfuryl thiol S-methyltransferase // thiol S-methyltransferase
D-proline reductase complex	prdB // prdA				D-proline reductase
ascorbate peroxidase					ascorbate peroxidase
GPI phosphoethanolamine transferase 1	PIGN	PIGN	62017615	62187056	GPI phosphoethanolamine transferase 1
tetraacyldisaccharide 4'-kinase	lpxK	HMPREF1322_RS06260	2393	3466	tetraacyldisaccharide 4'-kinase
mesaconyl-C1-CoA-C4-CoA transferase	mct	Caur_0175			mesaconyl-C1-CoA-C4-CoA transferase
berberine synthase					berberine synthase
mycoside B rhamnosyltransferase	Rv2958c	Rv2958c			<i>O</i>-methyl-4-<i>O</i>-(2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl)-hydroxybenzoate rhamnosyltransferase // mycoside B rhamnosyltransferase
ISPD	ISPD	ISPD			(-)-carveol dehydrogenase // (-)-isopiperitenol dehydrogenase
GDP-Man:&alpha;-L-Fuc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1&rarr;3)-mannosyltransferase	wdaF	wdaF			GDP-Man:&alpha;-L-Fuc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1&rarr;3)-mannosyltransferase
(4E)-1-(3,3-dimethyloxiran-2-yl)-3-hydroxy-3-methylhex-4-en-6-yl-quinolinone B epoxide hydrolase	penJ	penJ			(4E)-1-(3,3-dimethyloxiran-2-yl)-3-hydroxy-3-methylhex-4-en-6-yl-quinolinone B epoxide hydrolase
anthocyanidin synthase	ans	ans			anthocyanidin synthase
(<i>S</i>)-&beta;-macrocarpene synthase TPS6	TPS6	TPS6			(<i>S</i>)-&beta;-macrocarpene synthase // (<i>S</i>)-&beta;-macrocarpene synthase
2,4-dienoyl-CoA reductase	fadH	b3081	3231665	3233683	2,4-dienoyl-CoA reductase
6-hydroxy-3-succinoyl-pyridine hydroxylase	vppD	vppD			6-hydroxy-3-succinoyl-pyridine hydroxylase
hyoscyamine aldehyde reductase	ADH	ADH			hyoscyamine aldehyde reductase
anthocyanidin 3-<i>O</i>-glucoside 6"-<i>O</i>-malonyltransferase	3MaT1	3MaT1			pelargonidin 3-<i>O</i>-glucoside 6"-<i>O</i>-malonyltransferase // delphnidin 3-<i>O</i>-glucoside 6"-<i>O</i>-malonyltransferase // cyanidin 3-<i>O</i>-glucoside 6"-<i>O</i>-malonyltransferase
chloroplastidic glycerol-3-phosphate O-acyltransferase	ATS1	ATHATSA2			acyl-acp:sn-glycerol-3-phosphate 1-O-acyltransferase
benzaldehyde dehydrogenase / benzaldehyde oxidase	AAO4	AAO4			benzaldehyde dehydrogenase // benzaldehyde oxidase
yaequinolone D synthase	penF	penF			yaequinolone D synthase
maleamate amidohydrolase	nicF	PP3941			maleamate amidohydrolase
tryprostatin B 6-hydroxylase	ftmC	ftmC			tryprostatin B 6-hydroxylase
UDP-glucose 6-dehydrogenase	tuaD	BSU35580	3654139	3655524	UDP-glucose 6-dehydrogenase
guanosine deaminase					guanosine deaminase
validamycin A dioxygenase	vldW	vldW			validamycin A dioxygenase
D-arabinonate dehydratase	C785_RS13685	PMI16_01492			D-arabinonate dehydratase
isoflavone-7-O-glucoside-6''-O-malonate malonyltransferase					isoflavone-7-O-glucoside-6''-O-malonate malonyltransferase
aldehyde reductase (chloroplastic)	ChlADR	ChlADR	20462673	20464314	<i>cis</i>-3-hexenal reductase // <i>trans</i>-2-hexenal reductase // <i>trans</i>-2-pentenal reductase // butanal reductase // methylglyoxal reductase
L-tryptophan decarboxylase	psiD	psiD			4-hydroxy-L-tryptophan decarboxylase // L-tryptophan decarboxylase
AroC	aroC	aroC			3-dehydroquinate dehydratase
&beta;-amyrin 30-monooxygenase	CYP72A63	CYP72A63			&beta;-amyrin 30-monooxygenase
pre-leporin C dehydrogenase	lepF	lepF			pre-leporin C dehydrogenase
pterocarpan synthase					pterocarpan synthase
protostadienol 4&beta;-monooxygenase	cepB1	ACRE_062150			protostadienol 4&beta;-monooxygenase
phenylacetaldoxime dehydratase	oxdA	oxdA			phenylacetaldoxime dehydratase
thioplatensimycin synthase	ptmC	ptmC			thioplatensimycin synthase
4-hydroxyphenylacetaldehyde dehydrogenase	tynC	tynC			4-hydroxyphenylacetaldehyde dehydrogenase
flavanone 7-O-glucosyltransferase					UDP-glucose:hesperitin-7-O-&beta;-D-glucosyltransferase // UDP-glucose:naringenin 7-O-&beta;-D-glucosyltransferase
dehydrosqualene synthase	crtM	crtM	2709970	2710633	4,4'-diapophytoene synthase
1,2-dehydroreticuline synthase	DRS	DRS			1,2-dehydroreticuline synthase
acetylcitrulline deacetylase subunit	argE	argE			acetylcitrulline deacetylase
periplasmic [NiFe] hydrogenase 1	hynA-1 // hynB-1				periplasmic [NiFe] hydrogenase 1
(3<i>R</i>)-2-(2-carboxyethyl)-3-methyl-6-oxocyclohex-1-ene-1-carboxyl-CoA hydrolase	ipdA // ipdB				(3<i>R</i>)-2-(2-carboxyethyl)-3-methyl-6-oxocyclohex-1-ene-1-carboxyl-CoA hydrolase
D-pinitol dehydrogenase	OEPB	OEPB			D-pinitol dehydrogenase
factor-independent urate hydroxylase	UOX	UOX			urate hydroxylase
cytosolic 5'-nucleotidase II	NT5C2	NT5C2	104845940	104953056	XMP 5'-nucleotidase // GMP 5'-nucleotidase // IMP 5'-nucleotidase
salicylate 1-hydroxylase	salA	salA			5-methylsalicylate 1-hydroxylase // 4-methylsalicylate 1-hydroxylase // 5-chlorosalicylate 1-hydroxylase // 4-chlorosalicylate 1-hydroxylase // salicylate 1-hydroxylase
geranylgeranyl diphosphate diphosphatase I					geranylgeranyl diphosphate diphosphatase
(4R)-limonene synthase	4RLS	4RLS			(4R)-limonene synthase
succinyl-CoA-glutarate CoA-transferase	gcdG	PP_0159	169599	170819	succinyl-CoA-glutarate CoA-transferase
cytokinin oxidase	CKX3	CKX3			isopentenyladenine:FAD oxidoreductase // <i>trans</i>-zeatin:FAD oxidoreductase
cucurbitacin 16-<i>O</i>-acetyltransferase	ACT3	Cla022713			cucurbitacin 16-<i>O</i>-acetyltransferase
plastoquinol terminal oxidase	ptoX	SYNW0887	850810	851433	plastoquinol terminal oxidase
vomilenine 1,2-reductase	VR	VR			vomilenine 1,2-reductase
berberine bridge enzyme	BBE	BBE			(<i>S</i>)-scoulerine oxidase // (<i>S</i>)-reticuline oxidase
flavin prenyltransferase	ubiX	PA4019			FMN prenyltransferase
3-[(2S,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate aminotransferase	bacF	bacF			3-(4-hydroxyphenyl)pyruvate aminotransferase // 3-[(2S,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate aminotransferase
flavonol 3-<i>O</i>-&beta;-heterodisaccharide glucosidase					rutin-3-<i>O</i>-&beta;-heterodisaccharide glucosidase (FHG II)
isoflavone 2'-hydroxylase	CYP81E1	CYP81E1			genistein 2'-hydroxylase // daidzein 2'-hydroxylase // pseudobaptigenin 2'-hydroxylase // formononetin 2'-hydroxylase
xylosyltransferase 1	XYLT1	XYLT1	16874945	17026963	protein xylosyltransferase
carboxynorspermidine decarboxylase	VVI_3048	VVI_3048	3114667	3115800	carboxyspermidine decarboxylase // carboxynorspermidine decarboxylase
O-[5-(hydroxynitroso)-3-(oxidonitroso)-2-oxocyclohexylidenenitroso]oxidanidolate tautomerase	npdH	npdH			O-[5-(hydroxynitroso)-3-(oxidonitroso)-2-oxocyclohexylidenenitroso]oxidanidolate tautomerase
chalcone synthase	CHS4	CHS4			chalcone synthase
gamma-glutamylisopropylamide synthetase	ipuC	ipuC			&gamma;-glutamylisopropylamide synthetase
type 2 lactosamine &alpha;-2,3-sialyltransferase	ST3GAL6	ST3GAL6	97754542	97818101	neolactooctaosylceramide &alpha;-2,3-sialyltransferase // neolactohexaosylceramide &alpha;-2,3-sialyltransferase // neolactotetraosylceramide &alpha;-2,3-sialyltransferase
adenosine 5'-phosphosulfate reductase 2	APR2	APR2			APS reductase
geranyl diphosphate synthase	VrtD	VrtD			geranyl diphosphate synthase
4-hydroxytryptamine kinase	psiK	psiK			4-hydroxytryptamine kinase // 4-hydroxytryptamine kinase
4-hydroxybenzoate octaprenyltransferase	ubiA	b4040	4253016	4253888	4-hydroxybenzoate octaprenyltransferase
geranyl acetate esterase (GAE-I)					geranyl acetate esterase (GAE-I)
p-coumaroyl-diketide-CoA synthase	PKS1	PKS1			p-coumaroyl-diketide-CoA synthase
propionyl-CoA carboxylase					propionyl-CoA carboxylase
formate dehydrogenase 1	fdhA1 // fdhB1				NAD+-dependent formate dehydrogenase
L-lysine:pyruvate aminotransferase					L-lysine:pyruvate aminotransferase
(-)-(4S)-Limonene-6-hydroxylase	CYP71D18	CYP71D18			(-)-(4S)-Limonene-6-hydroxylase
3'-amino-3'-deoxyATP pyrophosphohydrolase	pur7	pur7			3'-amino-3'-deoxyATP pyrophosphohydrolase
L-glutamine-D-fructose-6-phosphate isomerase subunit // L-glutamine-D-fructose-6-phosphate transaminase subunit	ptmA // ptmF		1258919	1259689	D-glucosamine-6-phosphate synthase
chlorobenzene dioxygenase					chlorobenzene dioxygenase // 1,3-dichlorobenzene dioxygenase // 1,4-dichlorobenzene dioxygenase
pentitolphosphate dehydrogenase Lmo2663	lmo2663	lmo2663			D-arabitinol 1-phosphate dehydrogenase // xylitol 5-phosphate dehydrogenase
ribose 1,5-bisphosphate phosphokinase	phnN	SM_b21170			ribose 1,5-bisphosphate phosphokinase
&alpha;-1,3-mannosyl-glycoprotein 4-&beta;-<i>N</i>-acetylglucosaminyltransferase C	MGAT4C	MGAT4C			&alpha;-1,3-mannosyl-glycoprotein 4-&beta;-<i>N</i>-acetylglucosaminyltransferase
carbofuran hydrolase	cehA	cehA			carbofuran hydrolase
nucleoside diphosphate kinase	ndk	b2518	2644433	2644864	nucleoside diphosphate kinase // UDP kinase // CDP kinase // dUDP kinase // dCDP kinase // dTDP kinase // dADP kinase // dGDP kinase // GDP kinase
isopentenyl pyrophosphate isomerase					isopentenyl pyrophosphate isomerase
ecto apyrase	GS52	GS52			nucleoside triphosphate phosphatase // ATP phosphatase
reuteransucrase GtfA	gtfA	gtfA			reuteransucrase // reuteransucrase // reuteransucrase // reuteransucrase // reuteransucrase
cinnamyl alcohol dehydrogenase 4	CAD4	CAD4			coniferyl alcohol dehydrogenase // coumaryl alcohol dehydrogenase
(6<i>R</i>,7<i>R</i>,16<i>S</i>,17<i>Z</i>)-16-<i>O</i>-acetyl-4&beta;,20-didemethyl-20-carboxy-6,7-dihydroxy-protosta-17(20),24-dien-3-one 6-<i>O</i>-acetyltransferase	cepD2	ACRE_087540			(6<i>R</i>,7<i>R</i>,16<i>S</i>,17<i>Z</i>)-16-<i>O</i>-acetyl-4&beta;,20-didemethyl-20-carboxy-6,7-dihydroxy-protosta-17(20),24-dien-3-one 6-<i>O</i>-acetyltransferase
CcmAB	ccmA // ccmB		2297021	2297644	release of heme-bound CcmE
methenyltetrahydromethanopterin cyclohydrolase	mch	AF_RS09720	1734175	1735125	methenyltetrahydromethanopterin cyclohydrolase
maleylacetate reductase	tsdD	RHA1_ro01858			maleylacetate reductase
dioxin dioxygenase alpha subunit // dioxin dioxygenase beta subunit	dxnA2 // dxnA1				dibenzofuran 4,4a-dioxygenase
(5<em>R</em>)-carbapenem-3-carboxylate synthase	carC	carC			(3S,5R)-carbapenem synthase // (5<em>R</em>)-carbapenem-3-carboxylate synthase
aldehyde dehydrogenase	astD	b1746	1828256	1829734	succinylglutamate semialdehyde dehydrogenase
chorismate dehydratase	mqnA	mqnA			chorismate dehydratase
2-deoxy-<i>scyllo</i>-inosose synthase	btrC	btrC			2-deoxy-<i>scyllo</i>-inosose synthase
