Pathway	Reactions
PWY-6285	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555 // RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145 // RXN-16393 // RXN-9623 // RXN-9655 // 3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657 // RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
PWY-6284	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555 // RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661 // RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
PWY-6281	2.7.9.3-RXN // RXN-10039 // RXN-10038 // RXN0-2161
PWY-6282	RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661
THISYN-PWY	RXN-9787 // RXN-11319 // RXN-9789 // RXN-9788 // DXS-RXN // THIAZOLSYN2-RXN // RXN-12611 // THI-P-KIN-RXN // PYRIMSYN1-RXN // PYRIMSYN3-RXN
PWY-2942	RXN-14014 // DIAMINOPIMELATE-DEHYDROGENASE-RXN // DIAMINOPIMDECARB-RXN // RXN-4821 // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-5177	RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN
GLUCARGALACTSUPER-PWY	GALACTARDEHYDRA-RXN // GKI-RXN // GLUCARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN
COLANSYN-PWY	UGD-RXN // PHOSPHOGLUCMUT-RXN // GLUC1PURIDYLTRANS-RXN // PGLUCISOM-RXN // 2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN // FCLREDUCT-RXN // FCLEPIM-RXN // GDPMANDEHYDRA-RXN // UDPGLUCEPIM-RXN
PWY-7007	RXN-11026 // RXN-13248 // RXN-13247 // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // BUTYRATE--COA-LIGASE-RXN
PWY-7000	RXN-14401 // RXN-14402 // RXN-13166 // RXN-13165 // RXN-13149 // RXN-13148 // RXN-13147 // RXN-13146 // RXN-13145 // RXN-13127 // RXN-13125 // RXN-13124 // RXN-13123 // RXN-13121 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119 // RXN-13118
PWY-7002	RXN-13129 // MALEYLACETATE-REDUCTASE-RXN // 1.2.1.61-RXN // RXN-8740 // RXN-13126
PWY-7003	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // GLYCERONE-KINASE-RXN // GLYCDEH-RXN
PWY-5860	RXN-9217 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // TRANS-PENTAPRENYLTRANSFERASE-RXN
PWY-5861	DMK-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // RXN-8992
PWY-5862	RXN-9204 // TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5863	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // FARNESYLTRANSTRANSFERASE-RXN // RXN-7658 // RXN-7659 // RXN-7660 // RXN-17066 // RXN-17007 // RXN-7569 // RXN-7568
GALACT-GLUCUROCAT-PWY	RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN // KDPGALDOL-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN
ORNDEG-PWY	RXN-6423 // RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942 // PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN // ORNDECARBOX-RXN
PWY-6662	RXN-17704 // ANTHRANSYN-RXN // RXN-17709 // RXN-17708 // RXN-17707 // RXN-17705 // RXN-17703 // RXN-17702 // RXN-11849 // AMINOBENZCOALIG-RXN
PWY-6660	RXN-17709 // RXN-17708 // RXN-17707 // RXN-17705 // RXN-17703 // RXN-17702 // RXN-11849 // AMINOBENZCOALIG-RXN
CAROTENOID-PWY	RXN-8074 // RXN1F-155 // RXN-7979 // RXN-7984 // RXN-7978 // RXN-7985 // RXN-8026 // RXN-8025 // RXN-12244 // RXN-12243 // RXN-11357 // RXN-8042 // RXNARA-8002 // 2.5.1.32-RXN // RXN-11356 // RXN-11354 // RXN-5962 // RXN-5961 // RXN1F-148 // RXN1F-147 // RXN1F-150 // RXN1F-151
PWY-621	3.2.1.48-RXN // GLUCOKIN-RXN // PGLUCISOM-RXN // FRUCTOKINASE-RXN
PWY-622	PHOSPHOGLUCMUT-RXN // PGLUCISOM-RXN // RXN-14380 // RXN-14378 // RXN-14374 // RXN-14373 // RXN-14371 // RXN-14372 // GLYCOGENSYN-RXN // GLUC1PADENYLTRANS-RXN
KETOGLUCONMET-PWY	RXN0-7021 // RXN0-7020 // 1.1.1.274-RXN // 1.1.1.264-RXN // GLUCONOKIN-RXN // GLUCONATE-5-DEHYDROGENASE-RXN // 1.1.1.215-RXN // YIAE1-RXN
PWY-5532	RXN-14700 // RXN-14699 // CYTIKIN-RXN // URPHOS-RXN // ADENPHOSPHOR-RXN // RXN0-5199 // RXN-17337 // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-8800 // RXN-8801
PWY-5531	RXN-17485 // HEMN-RXN // RXN0-6259 // RXN-8799 // RXN-8797 // RXN-8798 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN
PWY-6713	LACTALDDEHYDROG-RXN // RXN-12165 // RXN-12158 // RXN-12149 // L-RHAMNOSE-1-DEHYDROGENASE-RXN // RXN0-5433 // L-RHAMNONATE-DEHYDRATASE-RXN // L-RHAMNONO-14-LACTONASE-RXN
NONOXIPENT-PWY	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
PWY-5088	MALATE-DEH-RXN // 2.1.3.1-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN // METHYLASPARTATE-MUTASE-RXN // METHYLASPARTATE-AMMONIA-LYASE-RXN // S-2-METHYLMALATE-DEHYDRATASE-RXN // CITRAMALATE-LYASE-RXN
PWY-5080	RXN-11750 // RXN-7711 // RXN-7698 // RXN-7697
P42-PWY	R601-RXN // MALATE-DEH-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // PYRUVATE-CARBOXYLASE-RXN // PYRUFLAVREDUCT-RXN
PWY-7539	RXN-15730 // GTP-CYCLOHYDRO-II-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY-5667	GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
PWY-5392	R601-RXN // MALATE-DEH-RXN // R23-RXN // RXN-8457 // RXN-7929 // CITRATE--COA-LIGASE-RXN // PYRUFLAVREDUCT-RXN // ACONITATEDEHYDR-RXN // ACONITATEHYDR-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // 5.5.1.2-RXN // PROTOCATECHUATE-34-DIOXYGENASE-RXN
CENTBENZCOA-PWY	RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN
PWY-7084	RXN-13570 // HAONITRO-RXN // AMONITRO-RXN // RXN-12130 // NITRITE-REDUCTASE-CYTOCHROME-RXN // NITRIC-OXIDE-REDUCTASE-RXN
GLUCOSE1PMETAB-PWY	RXN0-6373 // GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // GLUCONOLACT-RXN // GLUCOSE-1-PHOSPHAT-RXN
NAD-BIOSYNTHESIS-II	RXN-5841 // RXN-5822 // NADPYROPHOSPHAT-RXN
PWY-7398	RXN-16763 // RXN-16762 // RXN-14988 // RXN-1126 // RXN-12965 // RXN-12963 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-12350 // RXN-12349 // RXN-14987 // RXN-14990 // 4-COUMARATE--COA-LIGASE-RXN // RXN-9697
PWY-7399	RXN-14996 // RXN-14995 // RXN0-6734 // RXN0-6733 // RXN0-6732
PWY-7391	4.2.3.27-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7392	4.2.3.17-RXN // FARNESYLTRANSTRANSFERASE-RXN // RXN-24044 // RXN-24043 // RXN-15878 // IPPISOM-RXN // RXN0-302 // 2.7.1.148-RXN // 2.7.7.60-RXN // DXPREDISOM-RXN // DXS-RXN // FPPSYN-RXN // GPPSYN-RXN
DENOVOPURINE2-PWY	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN // DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN // RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-6060	RXN-9776 // RXN-9777 // RXN-9775 // RXN-9729
PYRIDOXSYN-PWY	RXN-13179 // PSERTRANSAMPYR-RXN // ERYTHRON4PDEHYDROG-RXN // PDXJ-RXN // DXS-RXN // ERYTH4PDEHYDROG-RXN // PNPOXI-RXN
PWY-5918	RXN0-1461 // PROTOHEMEFERROCHELAT-RXN // PROTOPORGENOXI-RXN // UROGENDECARBOX-RXN // GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN
PWY-5431	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN // 5.5.1.2-RXN // PROTOCATECHUATE-34-DIOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN
PWY-5897	RXN-9138 // RXN-9362 // RXN-9359 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5896	RXN-9106 // RXN-9361 // RXN-9358 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
TYRFUMCAT-PWY	TYROSINE-AMINOTRANSFERASE-RXN // FUMARYLACETOACETASE-RXN // MALEYLACETOACETATE-ISOMERASE-RXN // HOMOGENTISATE-12-DIOXYGENASE-RXN // 4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
PWY-6470	RXN-22556 // RXN-11349 // RXN-11348 // RXN-11343 // RXN-11344 // RXN-11345 // RXN-11346 // RXN-11347 // 3.4.17.14-RXN // 6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
ARGSYNBSUB-PWY	GLUTAMINESYN-RXN // N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // GLUTAMATE-N-ACETYLTRANSFERASE-RXN // ACETYLGLUTKIN-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLORNTRANSAM-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-6478	RXN-11363 // RXN-11365 // RXN-11364 // RXN0-4301
PWY-6277	GART-RXN // GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
P461-PWY	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // MANNPDEHYDROG-RXN // SORB6PDEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVFORMLY-RXN // L-LACTATE-DEHYDROGENASE-RXN
PWY0-1338	RXN0-2001 // RXN0-5409 // RXN0-3521 // RXN0-1863 // RXN0-1862 // RXN0-1861
PWY-7019	RXN-13219 // RXN-13218 // RXN-13217 // RXN-13216 // RXN-13215 // RXN-13214 // RXN-13213
PWY-7013	PROPKIN-RXN // RXN-13198 // PTAALT-RXN // RXN-12736 // PROPANEDIOL-DEHYDRATASE-RXN
P341-PWY	PEPSYNTH-RXN // PGLUCISOM-RXN // RXN-17001 // 1.2.7.6-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // R302-RXN
HISTSYN-PWY	ATPPHOSPHORIBOSYLTRANS-RXN // HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN // PRIBFAICARPISOM-RXN // GLUTAMIDOTRANS-RXN // IMIDPHOSDEHYD-RXN // HISTAMINOTRANS-RXN // HISTIDPHOS-RXN // HISTOLDEHYD-RXN // HISTALDEHYD-RXN
PWY-6385	RXN-22973 // 2.4.1.129-RXN // RXN-11301 // RXN-11031 // RXN-11030 // DALADALALIG-RXN // UDP-NACMURALGLDAPLIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDP-NACMURALGLDAPAALIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // RXN-11029 // RXN-11028
PWY-6386	6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
PWY-6387	DALADALALIG-RXN // UDP-NACMURALGLDAPLIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDP-NACMURALGLDAPAALIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
PWY-6383	RXN-11027 // IPPISOM-RXN // GPPSYN-RXN // 2.5.1.68-RXN // RXN-11023
PWY-4722	CREATININE-DEAMINASE-RXN // SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // N-CARBAMOYLSARCOSINE-AMIDASE-RXN // 3.5.2.14-RXN
PWY0-1241	RXN0-4301 // 5.1.3.20-RXN // RXN0-4361 // RXN0-4342 // RXN0-4341
PWY-6654	RXN-15635 // RXN-11781 // RXN-11782 // 2-DEHYDROPANTOATE-REDUCT-RXN
PWY-6655	RXN-11804 // RXN-11802 // RXN-11801 // RXN-11800 // RXN-11799 // RXN-11790 // RXN-11789 // RXN-11792 // RXN-11788 // RXN-11791
GLUDEG-II-PWY	HYDROG-RXN // METHYLASPARTATE-MUTASE-RXN // METHYLASPARTATE-AMMONIA-LYASE-RXN // S-2-METHYLMALATE-DEHYDRATASE-RXN // CITRAMALATE-LYASE-RXN // RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-181	GLYOHMETRANS-RXN // GCVMULTI-RXN // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // GLYCERATE-DEHYDROGENASE-RXN // GLYCINE-AMINOTRANSFERASE-RXN // GLY3KIN-RXN // RXN-969 // GPH-RXN // RXN-961
MET-SAM-PWY	HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // S-ADENMETSYN-RXN
PWY0-862	RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
GOLPDLCAT-PWY	GLYCERONE-KINASE-RXN // GLYCDEH-RXN // 13-PROPANEDIOL-DEHYDROGENASE-RXN // GLYCEROL-DEHYDRATASE-RXN
PWY-5529	UROGENIIISYN-RXN // OHMETHYLBILANESYN-RXN // PORPHOBILSYNTH-RXN // 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN // RXN-17485 // HEMN-RXN // RXN0-6259 // RXN-8799 // RXN-8797 // RXN-8798 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN // RXN-17491 // RXN-5286 // RXN-17425 // RXN-17424 // RXN-8792 // RXN-8793 // RXN-8791 // RXN-8790 // RXN-8789 // RXN-8788 // RXN-8787 // RXN-8786 // RXN-8785
PWY-5509	DMBPPRIBOSYLTRANS-RXN // RXN-8770 // COBALAMIN5PSYN-RXN
PWY-5705	TRANS-RXN0-444 // URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN // UREIDOGLYCOLATE-LYASE-RXN
PWY-6700	RXN-12104 // RXN0-1342 // RXN0-1321 // RXN0-4022
BIOTIN-BIOSYNTHESIS-PWY	RXN-25310 // RXN-17473 // DAPASYN-RXN // DETHIOBIOTIN-SYN-RXN // RXN-11484 // RXN-11474 // RXN-11475 // RXN-11476 // RXN-11477 // RXN-11478 // RXN-11479 // RXN-11480 // RXN-11481 // RXN-11482 // RXN-11483
PWY-5097	RXN-14014 // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // RXN-7737 // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-5419	RXN-8527 // RXN-8529 // 4.1.1.77-RXN // CATECHOL-23-DIOXYGENASE-RXN
PWY-7528	RXN-13072 // RXN-15650 // R147-RXN // R83-RXN // R82-RXN // R145-RXN // 5.3.1.23-RXN // 5-METHYLTHIORIBOSE-KINASE-RXN // METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN // SAMDECARB-RXN // SPERMIDINESYN-RXN // S-ADENMETSYN-RXN
PWY-5415	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN
PWY-5417	RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN
PWY-5675	RXN0-6377 // NITRATE-REDUCTASE-NADPH-RXN
PWY-5677	RXN-16834 // RXN-8890 // 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // RXN-8889 // RXN-8891 // RXN-8807 // R11-RXN
PWY-5676	RXN-16834 // RXN-5901 // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // R11-RXN // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5679	RXN-22224 // RXN-22223 // RXN-8893 // RXN-8892 // RXN-6267 // RXN-6266 // 3.5.3.22-RXN // 1.14.11.21-RXN // 6.3.3.4-RXN // 2.5.1.66-RXN
PWY-5384	PHOSPHOGLUCMUT-RXN // PGLUCISOM-RXN // FRUCTOKINASE-RXN // SUCROSE-PHOSPHORYLASE-RXN
GALLATE-DEGRADATION-II-PWY	RXN-2464 // RXN-2463 // RXN-9983 // GALLATE-DIOXYGENASE-RXN
ILEUDEG-PWY	2-METHYLACYL-COA-DEHYDROGENASE-RXN // 2KETO-3METHYLVALERATE-RXN // METHYLACETOACETYLCOATHIOL-RXN // TIGLYLCOA-HYDROXY-RXN // 1.1.1.178-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY0-781	S-ADENMETSYN-RXN // L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN // CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // RXN-14014 // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
PWY-5488	RXN-10137 // RXN-11965 // 1.6.5.7-RXN // MALEYLACETATE-REDUCTASE-RXN // 4-NITROPHENOL-2-MONOOXYGENASE-RXN
PWY-7385	RXN0-7077 // GLUCOKIN-RXN // PGLUCISOM-RXN // RXN0-6487 // GLYCEROL-DEHYDRATASE-RXN // 1.1.1.8-RXN // RXN-14965 // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN
PWY-5487	MALEYLACETATE-REDUCTASE-RXN // 1.2.1.61-RXN // RXN-8740 // 1.6.5.6-RXN // RXN-8739
GLUCARDEG-PWY	GKI-RXN // GLUCARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN
POLYAMINSYN3-PWY	SPERMINE-SYNTHASE-RXN // N-CARBAMOYLPUTRESCINE-AMIDASE-RXN // AGMATINE-DEIMINASE-RXN // ARGDECARBOX-RXN // ARGINASE-RXN // ORNDECARBOX-RXN // SAMDECARB-RXN // SPERMIDINESYN-RXN
PWY0-321	RXN-2425 // RXN-10819 // RXNMETA-12672 // RXNMETA-12671 // RXN0-6510 // RXN0-6512 // RXN0-2042 // RXN0-2044 // RXN-3641
PWY-6121	AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-6122	GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-6123	RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN
PWY-6125	DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-6126	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
PWY-6467	RXN-24833 // RXN-22487 // RXN-22486 // RXN-11327 // RXN-11323
PWY-6263	RXN-15264 // RXN-12345 // RXN-14910 // RXN-10622 // RXN-10620 // RXN-9780 // RXN-22598 // RXN-22597 // ADOMET-DMK-METHYLTRANSFER-RXN // RXN-8992
PWY0-1061	ALANINE-AMINOTRANSFERASE-RXN // RXN-12588 // VALINE-PYRUVATE-AMINOTRANSFER-RXN
PWY-6269	RXN-19343 // RXN-19338 // RXN-19342 // RXN-8770 // COBALAMIN5PSYN-RXN // R346-RXN // RXN-6261 // DMBPPRIBOSYLTRANS-RXN // COBINPGUANYLYLTRANS-RXN
