Pathways	Taxonomic-Range	Species	Common-Name	Common-Name2
PWY-6611	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-6531	TAX-2870 // TAX-5794	TAX-5807 // TAX-2880 // TAX-5800 // TAX-5802 // TAX-5811 // TAX-508771 // TAX-383379	Cryptosporidium parvum // Ectocarpus siliculosus // Eimeria // Eimeria tenella // Toxoplasma gondii	Phaeophyceae // Apicomplexa
PWY-7642	TAX-33090	TAX-15371 // TAX-4577	Bromus inermis // Zea mays	Viridiplantae
PWY-6654	TAX-2157	TAX-311400	Thermococcus kodakarensis	Archaea
PWY-8270	TAX-1117 // TAX-39119 // TAX-38254 // TAX-29197 // TAX-38410 // TAX-5747 // TAX-2864 // TAX-877183 // TAX-2836 // TAX-3027 // TAX-2830 // TAX-2833 // TAX-3041 // TAX-33682 // TAX-2763 // TAX-2870 // TAX-2825 // TAX-2 // TAX-33090	TAX-3055 // TAX-84588 // TAX-1140 // TAX-1148 // ORG-5993	Chlamydomonas reinhardtii // Parasynechococcus marenigrum // Synechococcus elongatus // Synechocystis sp. PCC 6803 // Arabidopsis thaliana	Cyanobacteriota // Dictyochophyceae // Glaucocystophyceae // Chlorarachniophyceae // Raphidophyceae // Eustigmatophyceae // Dinophyceae // Colpodellida // Bacillariophyta // Cryptophyceae // Haptophyta // Xanthophyceae // Chlorophyta // Euglenozoa // Rhodophyta // Phaeophyceae // Chrysophyceae // Bacteria <bacteria> // Viridiplantae
PWY-5765	TAX-3744	TAX-74649 // TAX-128735	Rosa chinensis // Rosa hybrid cultivar	Rosales
PWY1-3	TAX-2157 // TAX-2	TAX-192 // TAX-170623 // TAX-354 // TAX-190650 // TAX-1063 // TAX-106590 // TAX-1179 // TAX-1894 // TAX-350	Azospirillum brasilense // Azotobacter beijerinckii // Azotobacter vinelandii // Caulobacter vibrioides // Cereibacter sphaeroides // Cupriavidus necator // Desmonostoc muscorum // Kitasatospora aureofaciens // Zoogloea ramigera	Archaea // Bacteria <bacteria>
PWY-6736	TAX-3700	TAX-3712 // ORG-5993	Brassica oleracea // Arabidopsis thaliana	Brassicaceae
PWY-5188	TAX-2 // TAX-33682 // TAX-2157 // TAX-3398	TAX-511145 // TAX-3039 // TAX-4097 // TAX-43306 // TAX-90371 // TAX-4565 // ORG-5993	Escherichia coli // Euglena gracilis // Nicotiana tabacum // Pseudomonas denitrificans (nom. rej.) // Salmonella enterica // Triticum aestivum // Arabidopsis thaliana	Bacteria <bacteria> // Euglenozoa // Archaea // Magnoliopsida
PWY-7602	TAX-33682 // TAX-2830	TAX-3039 // TAX-37099 // TAX-298111 // TAX-561169	Euglena gracilis // Isochrysis galbana // Pavlova sp. CCMP459 // Rebecca salina	Euglenozoa // Haptophyta
PWY-7485	TAX-201174	TAX-1907	Streptomyces glaucescens	Actinomycetota
PWY-6239	TAX-33090	TAX-4058 // TAX-37334 // TAX-4043	Catharanthus roseus // Citrus maxima // Petroselinum crispum	Viridiplantae
PWY-5459	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-1187	TAX-3699	ORG-5993 // ORG-6338	Arabidopsis thaliana	Brassicales
PWY-8029	TAX-2	TAX-75697	Castellaniella defragrans	Bacteria <bacteria>
PWY-5321	TAX-3700	ORG-5993	Arabidopsis thaliana	Brassicaceae
PWY-8613	TAX-2	ORG-57130	Paracoccus wurundjeri	Bacteria <bacteria>
PWY-8127	TAX-1218	TAX-167539 // TAX-59919	Prochlorococcus marinus	Prochlorococcus
PWY-1341	TAX-2	TAX-59406 // TAX-59405	Aromatoleum evansii // Thauera aromatica	Bacteria <bacteria>
PWY-8091	TAX-2	TAX-439375 // TAX-218491 // TAX-558270	Brucella anthropi // Pectobacterium atrosepticum // Pectobacterium carotovorum	Bacteria <bacteria>
PWY-8465	TAX-2	TAX-654 // TAX-193 // TAX-1492 // TAX-1561206 // TAX-593909 // TAX-314263 // TAX-826 // TAX-29497	Aeromonas veronii // Azospirillum lipoferum // Clostridium butyricum // Marinomonas sp. SBI22 // Mesorhizobium opportunistum // Roseovarius nubinhibens // Sebaldella termitidis // Vibrio splendidus	Bacteria <bacteria>
PWY-6261	TAX-7742	TAX-10090 // TAX-10116 // TAX-9606	Mus musculus // Rattus norvegicus // Homo sapiens	Vertebrata <vertebrates>
PWY-8006	TAX-4751 // TAX-2	TAX-105351 // TAX-5061 // TAX-5507 // TAX-5141 // TAX-33903 // TAX-5547	Aspergillus awamori // Aspergillus niger // Fusarium oxysporum // Neurospora crassa // Streptomyces avermitilis // Trichoderma viride	Fungi // Bacteria <bacteria>
PWY-8069	TAX-39172	TAX-39347 // TAX-54731	Nepeta cataria // Nepeta racemosa	Nepeta
PWY-8210	TAX-2	TAX-76728	Wenjunlia vitaminophila	Bacteria <bacteria>
PWY-7549	TAX-1131492 // TAX-4751	TAX-209559	Aspergillus alliaceus	Aspergillaceae // Fungi
PWY-6316	TAX-23216	TAX-32247	Rubus idaeus	Rubus
PWY-7379	TAX-10239 // TAX-33208	TAX-9606 // TAX-10245	Homo sapiens // Orthopoxvirus vaccinia	Viruses // Metazoa
PWY-8265	TAX-2157 // TAX-2	TAX-382	Sinorhizobium meliloti	Archaea // Bacteria <bacteria>
PWY-8233	TAX-1236	ORG-57081	Escherichia coli	Gammaproteobacteria
PWY-5770	TAX-2207 // TAX-1236 // TAX-28216 // TAX-201174	TAX-482957 // TAX-287 // TAX-1038921 // TAX-294 // ORG-5929	Burkholderia lata // Pseudomonas aeruginosa // Pseudomonas chlororaphis // Pseudomonas fluorescens // Pseudomonas fluorescens 2-79	Methanosarcina // Gammaproteobacteria // Betaproteobacteria // Actinomycetota
PHOSLIPSYN2-PWY	TAX-33090	TAX-3847 // TAX-28973 // TAX-3888 // TAX-3988 // TAX-4565 // TAX-3916 // ORG-5993	Glycine max // Limnanthes douglasii // Pisum sativum // Ricinus communis // Triticum aestivum // Vigna radiata // Arabidopsis thaliana	Viridiplantae
PWY-7646	TAX-2	TAX-818 // TAX-984 // TAX-585 // TAX-1311	Bacteroides thetaiotaomicron // Pedobacter heparinus // Proteus vulgaris // Streptococcus agalactiae	Bacteria <bacteria>
PWY-8198	TAX-2	TAX-1160752 // TAX-1242083 // TAX-1129117 // TAX-54388	Salmonella enterica	Bacteria <bacteria>
PWY-8337	TAX-2	TAX-39484 // TAX-1776384 // TAX-76124	Agathobaculum desmolans // Emergencia timonensis // [Eubacterium] minutum	Bacteria <bacteria>
PWY-6828	TAX-2	TAX-441770 // TAX-1280 // TAX-1296 // TAX-1292	Clostridium botulinum // Staphylococcus aureus // Mammaliicoccus sciuri // Staphylococcus warneri	Bacteria <bacteria>
PWY-8246	TAX-171549	TAX-1125722	Porphyromonas gingivalis	Bacteroidales
ARG+POLYAMINE-SYN	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-5261	TAX-28890	TAX-117561	Methanococcoides sp. NaT1	Methanobacteriota
P125-PWY	TAX-2	TAX-644 // TAX-1423 // TAX-1718 // TAX-548 // TAX-573 // TAX-1580 // TAX-1582 // TAX-1587 // TAX-1590 // TAX-1358 // TAX-44688 // TAX-1246 // TAX-33965 // TAX-1247 // TAX-1255 // TAX-577 // TAX-615 // ORG-5879	Aeromonas hydrophila // Bacillus subtilis // Corynebacterium glutamicum // Klebsiella aerogenes // Klebsiella pneumoniae // Levilactobacillus brevis // Lacticaseibacillus casei // Lactobacillus helveticus // Lactiplantibacillus plantarum // Lactococcus lactis // Leuconostoc lactis // Leuconostoc mesenteroides // Oenococcus oeni // Pediococcus pentosaceus // Raoultella terrigena // Serratia marcescens // Brevibacillus brevis	Bacteria <bacteria>
PWY-6893	TAX-2157 // TAX-2	TAX-224308 // TAX-2246 // TAX-181486	Bacillus subtilis // Haloferax volcanii // Pyrobaculum calidifontis	Archaea // Bacteria <bacteria>
PWY-5179	TAX-1224	TAX-351746	Pseudomonas putida	Pseudomonadota
PWY-6390	TAX-2	TAX-1422 // TAX-548 // TAX-1718	Geobacillus stearothermophilus // Klebsiella aerogenes // Corynebacterium glutamicum	Bacteria <bacteria>
PWY-6922	TAX-33090	ORG-5993	Arabidopsis thaliana	Viridiplantae
PWY-8272	TAX-1236	ORG-57097	Escherichia coli	Gammaproteobacteria
PWY-6060	TAX-2	TAX-57040	Malonomonas rubra	Bacteria <bacteria>
PWY-5815	TAX-33090	TAX-3981 // TAX-35935 // TAX-333970	Hevea brasiliensis // Parthenium argentatum // Taraxacum kok-saghyz	Viridiplantae
PWY-681	TAX-2	TAX-169876 // TAX-107035 // TAX-1833 // TAX-1078016 // TAX-334542 // ORG-6294 // ORG-5982	Mycobacterium sp. G3 // Paenibacillus sp. A11-2 // Rhodococcus erythropolis // Rhodococcus qingshengii // Corynebacterium sp. strain SY1 // Rhodococcus YH3-3	Bacteria <bacteria>
PWY-8212	TAX-543	TAX-1010796 // ORG-57069	Escherichia coli O8 // Klebsiella pneumoniae	Enterobacteriaceae
PWY-7315	TAX-1224	TAX-511145	Escherichia coli	Pseudomonadota
PWY-5927	TAX-2	ORG-6040	Rhodococcus erythropolis	Bacteria <bacteria>
PWY-7997	TAX-2763 // TAX-1639119 // TAX-1117 // TAX-2836	TAX-2771 // TAX-33072 // TAX-5833 // TAX-32049	Cyanidium caldarium // Gloeobacter violaceus // Plasmodium falciparum // Picosynechococcus sp. PCC 7002	Rhodophyta // Plasmodiidae // Cyanobacteriota // Bacillariophyta
PWY-7027	TAX-2	TAX-211586	Shewanella oneidensis	Bacteria <bacteria>
PWY-7591	TAX-1046	TAX-572262 // TAX-37487 // TAX-244573	Candidatus Thiodictyon syntrophicum // Marichromatium purpuratum // Thiocapsa marina	Chromatiaceae
PWY-5285	TAX-1224	TAX-76588 // TAX-920 // TAX-930 // TAX-921 // TAX-931	Acidiphilium acidophilum // Acidithiobacillus ferrooxidans // Acidithiobacillus thiooxidans // Ancylobacter novellus // Thiobacillus thioparus	Pseudomonadota
PWY4FS-13	TAX-33090	ORG-5993	Arabidopsis thaliana	Viridiplantae
PWY-5394	TAX-4751 // TAX-3524	TAX-41956 // TAX-161934 // TAX-3583	Amanita muscaria // Beta vulgaris // Portulaca grandiflora	Fungi // Caryophyllales
PWY-7856	TAX-2759 // TAX-2 // TAX-2157	TAX-224308 // TAX-511145 // TAX-9606	Bacillus subtilis // Escherichia coli // Homo sapiens	Eukaryota // Bacteria <bacteria> // Archaea
PWY-0	TAX-40674	TAX-9606 // TAX-40674 // TAX-10090 // TAX-10116	Homo sapiens // Mammalia // Mus musculus // Rattus norvegicus	Mammalia
PWY66-241	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PWY-5350	TAX-2 // TAX-2759	TAX-354 // TAX-9913 // TAX-511145 // TAX-40674 // TAX-921	Azotobacter vinelandii // Bos taurus // Escherichia coli // Mammalia // Ancylobacter novellus	Bacteria <bacteria> // Eukaryota
PWY-7844	TAX-2	TAX-287	Pseudomonas aeruginosa	Bacteria <bacteria>
PWY-3121	TAX-3465 // TAX-4004 // TAX-3803 // TAX-3977 // TAX-4210	TAX-3981 // TAX-3983	Hevea brasiliensis // Manihot esculenta	Papaveraceae // Linaceae // Fabaceae // Euphorbiaceae // Asteraceae
PWY-6892	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-8387	TAX-562	TAX-562	Escherichia coli	Escherichia coli
PWY-6118	TAX-2759	TAX-4932 // TAX-9606 // ORG-5993	Saccharomyces cerevisiae // Homo sapiens // Arabidopsis thaliana	Eukaryota
PWY18C3-8	TAX-4070	TAX-4081 // TAX-28526	Solanum lycopersicum // Solanum pennellii	Solanaceae
PWY-7672	TAX-4751	TAX-5127 // TAX-5507 // TAX-117187	Fusarium fujikuroi // Fusarium oxysporum // Fusarium verticillioides	Fungi
PWY-7166	TAX-91827	TAX-3570 // TAX-4307 // TAX-62890	Dianthus caryophyllus // Euonymus alatus // Solanum habrochaites	Gunneridae
PWY-8560	TAX-810	TAX-272561	Chlamydia trachomatis	Chlamydia
PWY-7197	TAX-2759 // TAX-2 // TAX-2157	TAX-511145 // TAX-2242 // TAX-9606 // TAX-83332 // TAX-4932 // TAX-4113 // ORG-5993	Escherichia coli // Halobacterium salinarum // Homo sapiens // Mycobacterium tuberculosis // Saccharomyces cerevisiae // Solanum tuberosum // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
PWY-2345	TAX-3803	TAX-3827 // TAX-3847	Cicer arietinum // Glycine max	Fabaceae
PWY-5152	TAX-58024	TAX-4058 // TAX-101596 // TAX-52518 // TAX-3724 // TAX-4102 // ORG-5993	Catharanthus roseus // Dahlia pinnata // Eustoma russellianum // Matthiola incana // Petunia x hybrida // Arabidopsis thaliana	Spermatophyta
PWY-7572	TAX-4751	TAX-35717	Epichloe festucae	Fungi
PWY-6530	TAX-2	TAX-100762 // TAX-73030 // TAX-259537 // TAX-100766 // TAX-204459 // TAX-162176 // TAX-204460	Azospirillum sp. TTI // Dechloromonas agitata // Dechloromonas aromatica (nom. nud.) // Dechloromonas sp. MissR // Dechloromonas sp. PC1 // Azospira sp. KJ // Azospira sp. PCC	Bacteria <bacteria>
PWY-3282	TAX-33090	TAX-3871 // TAX-4530 // TAX-3888 // TAX-29760 // TAX-4577 // ORG-5993	Lupinus angustifolius // Oryza sativa // Pisum sativum // Vitis vinifera // Zea mays // Arabidopsis thaliana	Viridiplantae
PWY-5359	TAX-2	TAX-920	Acidithiobacillus ferrooxidans	Bacteria <bacteria>
GLYSYN-THR-PWY	TAX-2 // TAX-4751	TAX-4932	Saccharomyces cerevisiae	Bacteria <bacteria> // Fungi
PWY2PN3-2	TAX-1117	TAX-1111708	Synechocystis sp. PCC 6803	Cyanobacteriota
PWY-5398	TAX-24966 // TAX-26339	TAX-82528 // TAX-114476	Crocus sativus // Gardenia jasminoides	Rubiaceae // Iridaceae
PWY-7403	TAX-2	TAX-1072366	Rhodococcus sp. TMP1	Bacteria <bacteria>
PWY8J2-1	TAX-2	TAX-224308	Bacillus subtilis	Bacteria <bacteria>
PWY-7411	TAX-2759	TAX-4932	Saccharomyces cerevisiae	Eukaryota
PWY-7739	TAX-171637	TAX-36599 // ORG-6292 // ORG-6293	Sorbus aucuparia // Malus domestica	Amygdaloideae
PWY-5993	TAX-201174	TAX-33910 // TAX-749927	Amycolatopsis mediterranei	Actinomycetota
PWY-7424	TAX-2759	TAX-4932	Saccharomyces cerevisiae	Eukaryota
PWY2G6Z-4	TAX-662	TAX-243277	Vibrio cholerae O1	Vibrio
PWY-6012	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-7188	TAX-33090	TAX-4577 // TAX-3617 // TAX-4530	Zea mays // Fagopyrum esculentum // Oryza sativa	Viridiplantae
PWY0-1317	TAX-2157 // TAX-2	TAX-324602 // TAX-224308 // TAX-511145	Chloroflexus aurantiacus // Bacillus subtilis // Escherichia coli	Archaea // Bacteria <bacteria>
PWY-7391	TAX-2157 // TAX-33208 // TAX-4751 // TAX-2 // TAX-33090	TAX-1351 // TAX-192952 // TAX-43335 // TAX-4932	Enterococcus faecalis // Methanosarcina mazei // Populus alba // Saccharomyces cerevisiae	Archaea // Metazoa // Fungi // Bacteria <bacteria> // Viridiplantae
PWY-8329	TAX-2	TAX-863372	Herbaspirillum huttiense	Bacteria <bacteria>
PWY-7628	TAX-2	TAX-1517491	Nocardioides sp. JS1661	Bacteria <bacteria>
PWY-6377	TAX-7742	TAX-9606 // TAX-10116	Homo sapiens // Rattus norvegicus	Vertebrata <vertebrates>
PWY-1269	TAX-2 // TAX-33090	TAX-469008 // TAX-511145 // TAX-4577 // ORG-5993	Escherichia coli // Zea mays // Arabidopsis thaliana	Bacteria <bacteria> // Viridiplantae
PWY-7517	TAX-4890 // TAX-4751	TAX-622360	Alternaria brassicicola	Ascomycota // Fungi
PWY-7191	TAX-3398	TAX-4102	Petunia x hybrida	Magnoliopsida
PWY0-1573	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-7072	TAX-2	TAX-1076 // TAX-316057 // TAX-258594 // TAX-395960 // ORG-6214	Rhodopseudomonas palustris	Bacteria <bacteria>
PWY-6082	TAX-2	TAX-354 // TAX-286 // TAX-287	Azotobacter vinelandii // Pseudomonas // Pseudomonas aeruginosa	Bacteria <bacteria>
PWY-7985	TAX-2759 // TAX-2	TAX-3702 // TAX-4932	Arabidopsis thaliana // Saccharomyces cerevisiae	Eukaryota // Bacteria <bacteria>
KDOSYN-PWY	TAX-543	TAX-511145	Escherichia coli	Enterobacteriaceae
PWY-7102	TAX-2759 // TAX-1224	TAX-46611 // TAX-511145	Abies grandis // Escherichia coli	Eukaryota // Pseudomonadota
PWY-4341	TAX-33090 // TAX-1117	TAX-1148 // TAX-29760 // ORG-5993	Synechocystis sp. PCC 6803 // Vitis vinifera // Arabidopsis thaliana	Viridiplantae // Cyanobacteriota
PWY-6558	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-8409	TAX-4751	TAX-380649 // TAX-380658 // TAX-91752	Cyathus africanus // Cyathus helenae // Hericium erinaceus	Fungi
PWY-5143	TAX-2157 // TAX-2 // TAX-2759	TAX-511145 // ORG-5993	Escherichia coli // Arabidopsis thaliana	Archaea // Bacteria <bacteria> // Eukaryota
PWY-6826	TAX-2	TAX-176299 // TAX-358 // TAX-139 // TAX-235 // TAX-447 // TAX-446 // TAX-287 // TAX-208964 // TAX-382 // TAX-266834	Agrobacterium fabrum // Agrobacterium tumefaciens // Borreliella burgdorferi // Brucella abortus // Legionella bozemanae // Legionella pneumophila // Pseudomonas aeruginosa // Sinorhizobium meliloti	Bacteria <bacteria>
PWY18C3-24	TAX-3398	TAX-4097 // TAX-4113	Nicotiana tabacum // Solanum tuberosum	Magnoliopsida
MALATE-ASPARTATE-SHUTTLE-PWY	TAX-33208 // TAX-4751	TAX-9606 // TAX-9823	Homo sapiens // Sus scrofa	Metazoa // Fungi
PWY1YI0-8	TAX-1117	TAX-84588	Parasynechococcus marenigrum	Cyanobacteriota
PWY-8605	TAX-33090	TAX-4530	Oryza sativa	Viridiplantae
PWY-5856	TAX-2	TAX-435 // TAX-438 // TAX-86179 // TAX-80866 // TAX-252 // TAX-28252 // TAX-1082 // TAX-1083 // TAX-287 // TAX-294 // TAX-296 // TAX-303 // TAX-1085 // TAX-28068 // TAX-86188	Acetobacter aceti // Acetobacter pasteurianus // Chromohalobacter beijerinckii // Delftia acidovorans // Halomonas halmophila // Halomonas halodenitrificans // Magnetospirillum fulvum // Magnetospirillum molischianum // Pseudomonas aeruginosa // Pseudomonas fluorescens // Pseudomonas fragi // Pseudomonas putida // Rhodospirillum rubrum // Rubrivivax gelatinosus // Stenotrophomonas geniculata	Bacteria <bacteria>
PWY-6704	TAX-33090	TAX-29760	Vitis vinifera	Viridiplantae
PWY-6389	TAX-4751 // TAX-2	TAX-548 // TAX-1422 // TAX-573	Klebsiella aerogenes // Geobacillus stearothermophilus // Klebsiella pneumoniae	Fungi // Bacteria <bacteria>
PWY-1381	TAX-1224	TAX-110517	Pseudomonas sp. NCIB9816-4	Pseudomonadota
PWY-6324	TAX-201174	TAX-68170	Lentzea aerocolonigenes	Actinomycetota
PWY-5068	TAX-1117 // TAX-33682 // TAX-33090	TAX-4513 // ORG-5993	Hordeum vulgare // Arabidopsis thaliana	Cyanobacteriota // Euglenozoa // Viridiplantae
PWY-6325	TAX-3803	TAX-46348	Glycyrrhiza echinata	Fabaceae
PWY-8413	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PHENOLDEG-PWY	TAX-1224	TAX-59405	Thauera aromatica	Pseudomonadota
PWY-601	TAX-3699	ORG-5993	Arabidopsis thaliana	Brassicales
PWY-6813	TAX-4751 // TAX-2	TAX-105351 // TAX-5061 // TAX-224308	Aspergillus awamori // Aspergillus niger // Bacillus subtilis	Fungi // Bacteria <bacteria>
PWY-5430	TAX-2	TAX-106590 // TAX-354 // TAX-329 // TAX-471 // TAX-79676 // TAX-351746 // ORG-5960 // ORG-5952 // ORG-5948	Cupriavidus necator // Azotobacter vinelandii // Ralstonia pickettii // Acinetobacter calcoaceticus // Pseudomonas sp. CF600 // Pseudomonas putida	Bacteria <bacteria>
PWY0-781	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-5288	TAX-2 // TAX-3042 // TAX-4751	TAX-44155 // TAX-44745 // TAX-188916 // TAX-272131 // TAX-264483	Agrobacterium aurantiacum // Haematococcus lacustris // Mycobacterium lacticola // Nostoc punctiforme // Phaffia rhodozyma	Bacteria <bacteria> // Chlamydomonadales // Fungi
PWY-7473	TAX-4496	TAX-38783	Avena strigosa	Avena
PWY-6643	TAX-2191 // TAX-94695	TAX-2214	Methanosarcina acetivorans	Methanomicrobiales // Methanosarcinales
PWY-8372	TAX-2157 // TAX-2	TAX-1247	Oenococcus oeni	Archaea // Bacteria <bacteria>
PWY-7923	TAX-28889	TAX-56636 // TAX-70771 // TAX-2277 // TAX-121277 // TAX-13773 // TAX-181486	Aeropyrum pernix // Pyrobaculum neutrophilum // Pyrobaculum islandicum // Pyrobaculum arsenaticum // Pyrobaculum aerophilum // Pyrobaculum calidifontis	Thermoproteota
PWY-7275	TAX-2	TAX-46234 // TAX-63737	Anabaena sp. 90 // Nostoc punctiforme	Bacteria <bacteria>
RIBITOLUTIL-PWY	TAX-1224	TAX-1063 // TAX-498388 // TAX-548 // TAX-573	Cereibacter sphaeroides // Escherichia coli // Klebsiella aerogenes // Klebsiella pneumoniae	Pseudomonadota
PWY-7498	TAX-33090	TAX-3544	Mesembryanthemum crystallinum	Viridiplantae
PWY-5380	TAX-3524	TAX-3617	Fagopyrum esculentum	Caryophyllales
PWY-6972	TAX-2	TAX-1890	Streptomyces antibioticus	Bacteria <bacteria>
PWY-6406	TAX-2	TAX-1773 // TAX-83332 // TAX-287 // TAX-630 // TAX-632	Mycobacterium tuberculosis // Pseudomonas aeruginosa // Yersinia enterocolitica // Yersinia pestis	Bacteria <bacteria>
PWY-7032	TAX-1117	TAX-43989 // TAX-395961 // TAX-251221 // TAX-63737 // TAX-74547 // TAX-59919 // TAX-269084 // TAX-1140 // TAX-1148 // TAX-240292	Crocosphaera subtropica // Cyanothece sp. PCC 7425 // Gloeobacter violaceus // Nostoc punctiforme // Prochlorococcus marinus // Synechococcus elongatus // Synechocystis sp. PCC 6803 // Trichormus variabilis	Cyanobacteriota
PWY-6693	TAX-4751	TAX-334564 // TAX-5061 // TAX-380704 // TAX-51453	Trichoderma reesei // Aspergillus niger	Fungi
SALVPURINE2-PWY	TAX-2157 // TAX-2 // TAX-2759	TAX-511145	Escherichia coli	Archaea // Bacteria <bacteria> // Eukaryota
PWY-7112	TAX-33208	TAX-9606 // TAX-10116 // TAX-9823	Homo sapiens // Rattus norvegicus // Sus scrofa	Metazoa
PWY-8115	TAX-2157	TAX-54248	Hyperthermus butylicus	Archaea
PWY-7737	TAX-201174	TAX-349725 // ORG-6291	Micromonospora sp. ML1 // Micromonospora sp. ACM2-092	Actinomycetota
PWY-8424	TAX-1883	TAX-132248	Streptomyces hygroscopicus	Streptomyces
PWY-5915	TAX-1117	TAX-33072 // TAX-272131 // TAX-59919 // TAX-32052	Gloeobacter violaceus // Nostoc punctiforme // Prochlorococcus marinus // Synechococcus sp. WH 8020	Cyanobacteriota
PWY-8049	TAX-2	TAX-143687 // TAX-176282	Paederus sabaeus endosymbiont // symbiont bacterium of Paederus fuscipes	Bacteria <bacteria>
PWY-5456	TAX-2 // TAX-2759	TAX-303 // TAX-10116 // ORG-5972	Pseudomonas putida // Rattus norvegicus // Pseudomonas sp. NCIB 8858	Bacteria <bacteria> // Eukaryota
PHOTOALL-PWY	TAX-38254 // TAX-2830 // TAX-543769 // TAX-33634 // TAX-3027 // TAX-33682 // TAX-2763 // TAX-1117 // TAX-33090	TAX-1140 // TAX-1148	Synechococcus elongatus // Synechocystis sp. PCC 6803	Glaucocystophyceae // Haptophyta // Rhizaria // Stramenopiles // Cryptophyceae // Euglenozoa // Rhodophyta // Cyanobacteriota // Viridiplantae
XYLCAT-PWY	TAX-4751 // TAX-2	TAX-511145	Escherichia coli	Fungi // Bacteria <bacteria>
PWY-5057	TAX-2 // TAX-4751	TAX-4903 // TAX-1358 // TAX-4932	Cyberlindnera jadinii // Lactococcus lactis // Saccharomyces cerevisiae	Bacteria <bacteria> // Fungi
PWY-6824	TAX-33090	TAX-35941	Linum perenne	Viridiplantae
PWY-4041	TAX-33208 // TAX-4751	TAX-9606 // TAX-7370 // TAX-10114 // TAX-10116 // TAX-4896	Homo sapiens // Musca domestica // Rattus // Rattus norvegicus // Schizosaccharomyces pombe	Metazoa // Fungi
PWY-6059	TAX-2	TAX-205922 // ORG-6061 // ORG-6062 // ORG-6066 // ORG-6060	Pseudomonas fluorescens // Acinetobacter sp. strain 20B // Alcaligenes sp. strain E1 // Pseudomonas putida // Rhodococcus sp. strain SY1	Bacteria <bacteria>
PWY-6197	TAX-4751 // TAX-2	TAX-65741 // TAX-5554 // ORG-6093 // ORG-6094 // ORG-6092	Pseudomonas knackmussii // Cutaneotrichosporon cutaneum // Rhodococcus opacus // Comamonas testosteroni JH5 // Ralstonia pickettii	Fungi // Bacteria <bacteria>
PWY-6989	TAX-1224	ORG-5941	Pseudomonas putida	Pseudomonadota
PWY-5413	TAX-3313	TAX-46611 // TAX-3352 // TAX-3329	Abies grandis // Pinus taeda // Picea abies	Pinidae
PWY-5660	TAX-4751 // TAX-3313	TAX-25629 // TAX-46220 // TAX-88032 // TAX-29808 // TAX-99806 // TAX-120273 // TAX-85957	Taxus baccata // Taxus brevifolia // Taxus canadensis // Taxus chinensis // Taxus cuspidata // Taxus mairei // Taxus x media	Fungi // Pinidae
PWY-7528	TAX-2157 // TAX-2 // TAX-33090	TAX-4081 // TAX-1423 // TAX-224308 // TAX-571 // TAX-573 // TAX-3873 // TAX-4530 // TAX-666	Solanum lycopersicum // Bacillus subtilis // Klebsiella oxytoca // Klebsiella pneumoniae // Lupinus luteus // Oryza sativa // Vibrio cholerae	Archaea // Bacteria <bacteria> // Viridiplantae
PWY-6064	TAX-58023 // TAX-3195 // TAX-3208	TAX-36749 // TAX-3847 // ORG-5993	Chrysosplenium americanum // Glycine max // Arabidopsis thaliana	Tracheophyta // Marchantiophyta // Bryophyta
PWY-7376	TAX-2 // TAX-2157	TAX-29459 // TAX-43306 // TAX-1061 // TAX-382	Brucella melitensis // Pseudomonas denitrificans (nom. rej.) // Rhodobacter capsulatus // Sinorhizobium meliloti	Bacteria <bacteria> // Archaea
PWY-5973	TAX-2 // TAX-3398	TAX-48545 // TAX-73871 // TAX-511145	Asclepias syriaca // Dolichandra unguis-cati // Escherichia coli	Bacteria <bacteria> // Magnoliopsida
PWY-6996	TAX-2	TAX-446660 // TAX-502558 // TAX-239760 // TAX-572010 // TAX-647703 // ORG-6202 // ORG-6201	Adlercreutzia equolifaciens // Eggerthella sp. YY7918 // human intestinal bacterium SNU-Julong732 // Slackia isoflavoniconvertens // Slackia sp. NATTS // Asaccharobacter celatus // Lactococcus garvieae	Bacteria <bacteria>
PWY-7495	TAX-3398	TAX-118509 // TAX-47247	Glebionis segetum // Lotus corniculatus	Magnoliopsida
PWY-2561	TAX-3803	TAX-3827	Cicer arietinum	Fabaceae
PWY-7040	TAX-2	TAX-536 // TAX-243365 // TAX-715342 // TAX-445969 // TAX-29581 // TAX-43657	Chromobacterium violaceum // Collimonas sp. CT // Duganella sp. B2 // Janthinobacterium lividum // Pseudoalteromonas luteoviolacea	Bacteria <bacteria>
PWY-6834	TAX-2 // TAX-2157	TAX-69014 // TAX-300852	Thermococcus kodakarensis // Thermus thermophilus	Bacteria <bacteria> // Archaea
