Pathways	Object ID	Ontology - pathway type	Key-Reactions	Reaction-List	EC-Number
PWY-7111	PWY-7111	Energy-Metabolism		RXN-7657 // RXN-7643 // DIHYDROXYISOVALDEHYDRAT-RXN // ACETOLACTREDUCTOISOM-RXN // ACETOLACTSYN-RXN	EC-1.1.1.1 // EC-4.1.1.72 // EC-4.2.1.9 // EC-1.1.1.86 // EC-2.2.1.6
PWY-7437	PWY-7437	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis		RXN-15215 // RXN-15205	EC-3.2.1.169 // EC-2.4.1.255
PWY-5748	PWY-5748	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-25447 // RXN-25445 // RXN-13523 // RXN-13527 // RXN-13524 // RXN-13526 // RXN-13525 // RXN-8983 // RXN-8982 // RXN-8981	EC-2.6.1 // EC-1.5.5 // EC-1.14.99 // EC-1.1.99 // EC-2.1.1 // EC-1.5.1
PWY-7139	PWY-7139	AROMATIC-COMPOUNDS-BIOSYN // Other-biosynthesis		RXN-13821 // RXN-13820 // RXN-13819 // RXN-13818 // RXN-13817	EC-2.4.1 // EC-1
PWY-5287	PWY-5287	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15538 // RXN-15514 // RXN-9276 // RXN-9275 // RXN-8183 // 2.1.1.120-RXN // 1.14.13.57-RXN // 2.1.1.119-RXN // 1.14.13.56-RXN // RXN-8181 // RXN-8180 // RXN-8179 // 1.5.3.12-RXN // 1.14.13.55-RXN // 1.1.3.32-RXN // 1.14.21.2-RXN // RETICULINE-OXIDASE-RXN	EC-1.14.19.73 // EC-1.3.1.107 // EC-1.5.3.12 // EC-2.1.1.120 // EC-1.14.14.101 // EC-2.1.1.119 // EC-1.14.14.100 // EC-1.14.14.97 // EC-2.1.1.122 // EC-1.14.14.98 // EC-1.14.19.64 // EC-1.14.19.65 // EC-1.21.3.3
PWY-8051	PWY-8051	Lipid-Biosynthesis	RXN-20502 // RXN-20547 // RXN-20546	RXN-20561 // RXN-20560 // RXN-20556 // RXN-20555 // RXN-20547 // RXN-20546 // RXN-20514 // RXN-20513 // RXN-20512 // RXN-20511 // RXN-20502 // RXN-20503	EC-3.1.1.4 // EC-3.1.1.32 // EC-3.1.4.46 // EC-3.1.4.39 // EC-3.1.3.4 // EC-2.3.1.15 // EC-2.3.1.51 // EC-2.7.8.2 // EC-3.1.4.54 // EC-2.3.1.M82
PWY-6095	PWY-6095	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-9895	EC-5.4.99.37
PWY-8407	PWY-8407	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-23541 // RXN-23549 // RXN-23553 // RXN-23554 // RXN-23555 // RXN-23545 // RXN-23542 // RXN-23546	EC-4.2.3.211 // EC-1.14.14.184 // EC-1.14.11.82 // EC-2.1.1.387 // EC-1.1.1.437 // EC-2.3.1 // EC-1.13.11.M20
PWY-7539	PWY-7539	Other-biosynthesis		RXN-15730 // GTP-CYCLOHYDRO-II-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-4.2.1.160 // EC-3.5.4.25 // EC-3.6.1 // EC-4.1.2.25 // EC-2.7.6.3
PWY-8497	PWY-8497	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-24373 // RXN-24372	EC-1.14.15 // EC-5.5.1
ARO-PWY	ARO-PWY	Super-Pathways // Carboxylate-Biosynthesis		PWY-6163 // PWY-6164	
PWY-7958	PWY-7958	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-19282	RXN-19283 // RXN-19282 // RXN-19264 // RXN-19268 // RXN-19272	EC-1.14.20.14 // EC-5.5.1.33 // EC-4.1.99.25 // EC-1.14.20.11 // EC-2.5.1.146
PWY-7638	PWY-7638	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-16455 // RXN-8026 // RXN-8025 // RXN-16449	EC-1.14.15 // EC-1.5.3
PWY-5404	PWY-5404	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8490 // RXN-8489 // RXN-8491 // RXN-8488 // RXN-8487	EC-1.10.3 // EC-1.14.17
PWY-5286	PWY-5286	Metabolic-Clusters // AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8178 // RXN-8177 // RXN-8176	EC-2.4.1
PWY-6641	PWY-6641	Noncarbon-Nutrients // Super-Pathways		PWY-6638 // PWY-6637	
PWY-301	PWY-301	CARBOXYLATES-DEG		RXN-8032 // 1.1.1.259-RXN // RXN-8031 // 1.3.1.62-RXN // R268-RXN // R267-RXN // R266-RXN // R282-RXN // R281-RXN	EC-2.3.1 // EC-1.1.1.259 // EC-4.2.1.17 // EC-1.3.1.62 // EC-3.7.1 // EC-4.2.1 // EC-1.3.8.11 // EC-6.2.1
PWY-7608	PWY-7608	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-16147 // RXN-16146	EC-1.14.14 // EC-2.1.1
PWY-7716	PWY-7716	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-17100 // RXN-10819 // RXN-17062 // RXN-17061	EC-2.3.1 // EC-6.2.1.30
PWY-7573	PWY-7573	Carbohydrates-Biosynthesis		RXN-15970 // RXN-15969 // GDPMANDEHYDRA-RXN	EC-2.6.1 // EC-4.2.1.47
PWY-5410	PWY-5410	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-23336 // RXN-23335 // RXN-23334 // RXN-12299 // RXN-1346 // RXN-11852 // RXN-1349 // RXN-1347 // RXN-1345 // RXN-1321 // HYDROHEX-RXN // LIPOXYGENASE-RXN	EC-1.11.2.3 // EC-1.13.11.12 // EC-1.1.1.2 // EC-2.3.1.195 // EC-4.2.1.M19 // EC-4.2.1.M17
PWY-8498	PWY-8498	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-24384 // RXN-24382 // RXN-24383 // RXN-24381 // RXN-24380 // RXN-24379 // RXN-24378 // RXN-24377 // RXN-24376 // RXN-24375 // RXN-24374	EC-2.3.1 // EC-1.14.15
PWY-5783	PWY-5783	Polyprenyl-Biosynthesis		RXN-8992	EC-2.5.1.90
PWY66-388	PWY66-388	Fatty-Acid-and-Lipid-Degradation	RXN66-475	RXN-20504 // RXN3O-4042 // FORMYL-COA-HYDROLASE-RXN // RXN66-477 // RXN66-476 // RXN66-475 // RXN66-474	EC-3.5.1.23 // EC-1.14.18.6 // EC-3.1.2.10 // EC-6.2.1.3 // EC-1.2.1.3 // EC-4.1.2.63 // EC-6.2.1
PWY-5871	PWY-5871	Cofactor-Biosynthesis		2.5.1.39-RXN // RXN-9284 // RXN-9281 // RXN-9278 // RXN-9243 // RXN-9242 // 2.1.1.64-RXN // RXN-9241	EC-2.5.1.39 // EC-4.1.1.130 // EC-2.1.1.114 // EC-1.14.15.45 // EC-1.14.99.60 // EC-2.1.1.201 // EC-2.1.1.64 // EC-1.14.13.M56
PWY-1801	PWY-1801	C1-COMPOUNDS	RXN-2962	RXN-2962 // RXN-2961 // S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-1.1.1.284 // EC-4.4.1.22 // EC-3.1.2.12
PWY-7464	PWY-7464	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15374 // RXN-15373 // RXN-15372	EC-2.3.1 // EC-2.4.1
PWY0-43	PWY0-43	CARBOXYLATES-DEG		RXN0-268 // RXN0-310 // METHYLMALONYL-COA-MUT-RXN	EC-2.8.3.27 // EC-4.1.1.M5 // EC-5.4.99.2
PEPTIDOGLYCANSYN-PWY	PEPTIDOGLYCANSYN-PWY	Super-Pathways // Cell-Structure-Biosynthesis	UDP-NACMURALGLDAPLIG-RXN	RXN-16650 // TRANS-RXN0-286 // PWY-6387 // PHOSNACMURPENTATRANS-RXN // NACGLCTRANS-RXN	EC-2.4.99.28 // EC-7.5.99.M1 // EC-2.7.8.13 // EC-2.4.1.227
METHFORM-PWY	METHFORM-PWY	Energy-Metabolism		METHYL-COM-HTP-RXN	EC-2.8.4.1
PWY-8449	PWY-8449	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-14408 // RXN-23844 // RXN-23843 // RXN-22790	
PWY-7478	PWY-7478	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15441 // RXN-15394 // RXN-15381 // RXN-15382 // RXN-15379	EC-1.14.14 // EC-1.14.14.122 // EC-1.14.14.123 // EC-1.14.14.70
PWY-8549	PWY-8549	SECONDARY-METABOLITE-DEGRADATION		RXN-24917 // RXN-11759 // TRANS-RXN-1589	EC-3.2.1.40 // EC-3.2.1.168 // EC-7.5.2
PWY-7871	PWY-7871	CARBOXYLATES-DEG		RXN-18599 // RXN-18588 // RXN-18596	EC-4.1.1.104 // EC-2.7.1.219
PWY-7886	PWY-7886		RXN-18687	RXN-18687 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN	EC-2.7.1.M15 // EC-2.7.7.15 // EC-2.7.1.32
PWY-5130	PWY-5130	CARBOXYLATES-DEG // Super-Pathways		PROPIONMET-PWY // RXN-7790	EC-1.2.1.25
PWY-4361	PWY-4361	NUCLEO-DEG // Amino-Acid-Biosynthesis	R147-RXN	RXN-13072 // RXN-15650 // R147-RXN // R83-RXN // R82-RXN // R145-RXN // 5.3.1.23-RXN	EC-3.5.1.3 // EC-3.5.1.111 // EC-2.6.1.117 // EC-1.13.11.54 // EC-3.1.3.87 // EC-5.3.2.5 // EC-4.2.1.109 // EC-5.3.1.23
PWY-5666	PWY-5666	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN18C3-239 // RXN18C3-240 // RXN18C3-241 // RXN-8882 // RXN-8875 // RXN-8884 // RXN-8881 // RXN-8883 // RXN-8880	EC-1.1.1 // EC-2.4.1
PWY-6332	PWY-6332	AROMATIC-COMPOUNDS-BIOSYN		RXN-11640 // RXN-11643 // RXN-11642 // RXN-4502 // RXN-11641 // RXN-4501	EC-1.3.1.M28 // EC-1.3.1.51 // EC-1.14.14.90
PWY-6683	PWY-6683	Noncarbon-Nutrients	RXN-12019	SULFITE-REDUCT-RXN // RXN-12019 // SULFATE-ADENYLYLTRANS-RXN	EC-1.8.1.2 // EC-1.8.4.10 // EC-2.7.7.4
PWY-8286	PWY-8286	AROMATIC-COMPOUNDS-DEGRADATION		RXN-22490 // RXN-22234 // RXN-22233 // RXN-22232 // RXN-22229	EC-3.5.1.137
PWY-6139	PWY-6139	Carbohydrates-Biosynthesis	RXN-9990 // N-ACETYLNEURAMINATE-SYNTHASE-RXN // RXN-9987	RXN-9990 // N-ACETYLNEURAMINATE-SYNTHASE-RXN // RXN-9987	EC-2.7.7.43 // EC-2.5.1.56 // EC-3.2.1.183
PWY-6294	PWY-6294	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-10685 // RXN-8587	EC-4.2.3.66 // EC-4.2.3.198
PWY-6451	PWY-6451	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8565	EC-4.2.3.107
PWY66-393	PWY66-393	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-20581 // RXN-20580 // RXN66-487 // RXN66-488 // RXN66-489	EC-1.13.11.34 // EC-1.14.99
PWY-6275	PWY-6275	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8432 // RXN-8415 // RXN-8414	EC-4.2.3 // EC-4.2.3.104 // EC-4.2.3.57
PWY-5484	PWY-5484	Energy-Metabolism		RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN	EC-5.4.2.11 // EC-3.1.3.11 // EC-2.7.9.2 // EC-2.7.1.11 // EC-4.1.2.13 // EC-5.3.1.1 // EC-1.2.1.12 // EC-2.7.2.3 // EC-5.4.2.12 // EC-4.2.1.11 // EC-2.7.1.40
PWY-8294	PWY-8294	Amino-Acid-Degradation		GLUTAMINESYN-RXN // ASPARTASE-RXN // TRANS-RXN-106A	EC-6.3.1.2 // EC-4.3.1.1
PWY-8129	PWY-8129	Noncarbon-Nutrients		RXN-21313 // RXN-21314	EC-2.7.7.107 // EC-2.7.1
PWY-3661-1	PWY-3661-1	AMINE-DEG		RXN-22741 // DIMETHYLGLYCINE-DEHYDROGENASE-RXN // GLYOHMETRANS-RXN // 2.1.1.5-RXN	EC-1.5.8.3 // EC-1.5.8.4 // EC-2.1.2.1 // EC-2.1.1.5
PWY-8075	PWY-8075	Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis		RXN-20796 // RXN-20795 // RXN-20794 // RXN-20793 // RXN-20792	EC-1.14.11 // EC-2.3.1 // EC-2.3.1.241
PWY-7388	PWY-7388	Lipid-Biosynthesis		3-OXOACYL-ACP-SYNTH-BASE-RXN // RXN-9526 // RXN-9521 // 4.2.1.59-RXN // RXN-9524 // RXN-9523 // RXN-9520 // RXN-9518 // RXN-9516 // RXN-9515 // 4.2.1.58-RXN // RXN-9514	EC-2.3.1.41 // EC-2.3.1.179 // EC-1.3.1.104 // EC-1.3.1.10 // EC-1.3.1.39 // EC-4.2.1.59 // EC-1.1.1.100
PWY-5039	PWY-5039	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7598 // RXN-7597 // RXN-7596	EC-2.1.1.159 // EC-3.2.2.25 // EC-2.1.1.158
RUMP-PWY	RUMP-PWY	C1-COMPOUNDS // Energy-Metabolism	R10-RXN // R12-RXN	GLU6PDEHYDROG-RXN // PGLUCISOM-RXN // RXN-3341 // 6PGLUCONOLACT-RXN // R12-RXN // R10-RXN	EC-1.1.1.49 // EC-5.3.1.9 // EC-1.1.1.343 // EC-3.1.1.31 // EC-5.3.1.27 // EC-4.1.2.43
PWY-6291	PWY-6291	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8609 // RXN-8608	EC-4.2.3.86 // EC-4.2.3.73
P2-PWY	P2-PWY	Cofactor-Biosynthesis		CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN // CITC-RXN // 2.3.1.49-RXN // 2.7.8.25-RXN // 2.7.7.61-RXN	EC-3.1.2.16 // EC-6.2.1.22 // EC-2.3.1.49 // EC-2.4.2.52 // EC-2.7.7.61
PWY0-1415	PWY0-1415	Super-Pathways // Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis		HEME-BIOSYNTHESIS-II-1 // HEMESYN2-PWY	
GLYCLEAV-PWY	GLYCLEAV-PWY	Amino-Acid-Degradation	GCVP-RXN	RXN-8629 // GCVT-RXN // GCVP-RXN	EC-1.8.1.4 // EC-2.1.2.10 // EC-1.4.4.2
LYSINE-DEG1-PWY	LYSINE-DEG1-PWY	Amino-Acid-Degradation		1.2.1.31-RXN // 2-KETO-ADIPATE-DEHYDROG-RXN // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // 1.5.1.9-RXN // 1.5.1.8-RXN	EC-1.2.1.31 // EC-1.2.1.105 // EC-2.6.1.39 // EC-1.5.1.9 // EC-1.5.1.8
PWY-8382	PWY-8382	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-9028 // RXN-9030 // RXN-23299 // RXN-23294 // RXN-15400 // RXN-23295 // RXN-23296 // RXN-23297 // RXN-23298	EC-2.6.1.86 // EC-3.3.2.15 // EC-1.3.1 // EC-2.5.1.M31 // EC-1.14.19 // EC-1.14.13
PWY-6672	PWY-6672	SECONDARY-METABOLITE-DEGRADATION	GERANOYL-COA-CARBOXYLASE-RXN	ACETATE--COA-LIGASE-RXN // RXN-11921 // RXN-11920 // RXN-11919 // RXN-11918 // RXN-11917 // 4.1.3.26-RXN // ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN // GERANOYL-COA-CARBOXYLASE-RXN	EC-6.2.1.1 // EC-2.3.1 // EC-1.1.1 // EC-4.2.1 // EC-1.3.99 // EC-4.1.3.26 // EC-4.2.1.57 // EC-6.4.1.5
PWY0-1301	PWY0-1301	Carbohydrates-Degradation		ALPHAGALACTOSID-RXN	EC-3.2.1.22
PWY-6432	PWY-6432	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-21158 // RXN-21157 // RXN-21156 // RXN-21155 // RXN-11254 // RXN-21154 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // 4-COUMARATE--COA-LIGASE-RXN // RXN-11220 // RXN-11221	EC-2.1.1.104 // EC-6.2.1.12 // EC-2.3.1.218
PWY-5892	PWY-5892	Cofactor-Biosynthesis		RXN-9363 // RXN-9360	EC-2.1.1.163 // EC-2.5.1.74
PWY66-428	PWY66-428	Amino-Acid-Degradation		RXN-7790 // THREDEHYD-RXN	EC-1.2.1.25 // EC-4.3.1.19
PWY-7425	PWY-7425	CHLORINATED-COMPOUNDS-DEG	RXN-14536	DLACTDEHYDROGFAD-RXN // RXN-15138 // RXN-14536	EC-1.1.5.12 // EC-3.8.1.2 // EC-1.3.1.103
PWY-6326	PWY-6326	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-25378 // RXN-25377 // RXN-25376 // RXN-14036 // RXN-14031 // RXN-14030 // RXN-10859	EC-1.14.14
PWY-5808	PWY-5808	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7810 // RXN-7811 // RXN-13549 // 2.3.1.156-RXN // RXN-9135 // RXN-7813 // RXN-7812 // RXN-7805	EC-2.5.1.137 // EC-2.5.1.136 // EC-2.3.1.156
PWY-5195	PWY-5195	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-20257 // RXN-12314 // RXN-8058 // RXN-8056 // RXN-8055 // RXN-8053 // RXN-8051 // RXN-8050 // RXN-8046	EC-1.3.1.92 // EC-4.2.3.24
TOLUENE-DEG-2-OH-PWY	TOLUENE-DEG-2-OH-PWY	AROMATIC-COMPOUNDS-DEGRADATION		TOLUENE-2-MONOOXYGENASE-RXN // O-CRESOL-METHYLCATECHOL-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN	EC-1.14.13.243 // EC-3.7.1.25 // EC-1.13.11.2
PWY-6421	PWY-6421	Arsenic-Detoxification	RXN-11187	3.6.3.16-RXN // RXN-11189 // RXN-11187	EC-7.3.2.7 // EC-1.20.4.3 // EC-2.8.4.2
PWY0-1353	PWY0-1353	Energy-Metabolism	RXN0-5266 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	RXN0-5266 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-7.1.1.7 // EC-1.3.5.1
PWY3O-224	PWY3O-224	Cofactor-Biosynthesis		RXN-8443	EC-2.7.1.173
PWY-7632	PWY-7632	AROMATIC-COMPOUNDS-BIOSYN		RXN-16372 // RXN-16368 // RXN-16367 // RXN-16366	EC-2.3.1
PWY-3181	PWY-3181	Amino-Acid-Degradation // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-1401 // INDOLE-3-ACETALDEHYDE-OXIDASE-RXN // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	EC-1.4.3.4 // EC-1.2.3.7 // EC-4.1.1.28 // EC-4.1.1.105
PWY-7318	PWY-7318	Carbohydrates-Biosynthesis	RXN-14735	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14735 // RXN-12810 // RXN-12840	EC-4.2.1.46 // EC-2.7.7.24 // EC-2.3.1 // EC-2.6.1.89 // EC-5.3.2.4
PWY-7321	PWY-7321	Activation // Inactivation // Metabolic-Clusters		RXN-14736 // RXN-14743 // ECDYSONE-OXIDASE-RXN // RXN-14734 // RXN-14733	EC-1.14.14 // EC-1.1.1 // EC-1.1.3.16 // EC-3.1.3 // EC-2.7.1
PWY-5362	PWY-5362	Lipid-Biosynthesis		RXN-8388	EC-1.14.19.26
PWY-8155	PWY-8155	Fatty-Acid-and-Lipid-Degradation		RXN-21496 // RXN-21489 // RXN-21484 // RXN-21485 // RXN-21486 // RXN-21487	EC-1.1.1 // EC-1.3.99.4 // EC-1.3.99
PWY-7964	PWY-7964	Cofactor-Biosynthesis		RXN-19295 // RXN-19308 // RXN-19310	EC-2.4.2.21 // EC-2.7.8.26 // EC-3.1.3.73
PWY-8281	PWY-8281	AROMATIC-COMPOUNDS-BIOSYN		RXN-22468	EC-1.3.3.M5
PWY2B4Q-7	PWY2B4Q-7	Lipid-Biosynthesis		RXN2B4Q-66 // RXN2B4Q-58 // RXN2B4Q-57 // RXN2B4Q-56	EC-2.3.1.241 // EC-2.3.1.243
PWY-8444	PWY-8444	Carbohydrates-Degradation	RXN-23808	RXN-23808 // L-FUCONATE-HYDRATASE-RXN // RXN-22640 // RXN-22637 // RXN0-5298	EC-4.1.2.64 // EC-4.2.1.68 // EC-3.1.1.120 // EC-1.1.1.435 // EC-5.1.3.29
PWY-6682	PWY-6682	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-21178 // RXN-21177 // RXN-21175 // RXN-21176 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN // RXN-9009 // RXN-12007 // RXN-12008 // RXN-12009 // RXN-12010 // RXN-12011 // RXN-12012	EC-1.14.19 // EC-2.1.1.M5 // EC-4.1.1.82 // EC-5.4.2.9 // EC-1.1.1.309 // EC-2.7.1 // EC-1.14.11 // EC-1.1.1 // EC-2.6.1 // EC-2.3.2
PWY-7798	PWY-7798	Protein-Modification		HYDROXYLAMINE-REDUCTASE-NADH-RXN // RXN-17886 // RXN-17884 // RXN-17887 // RXN-17880	EC-1.7.1.10 // EC-1.1.1.284
PWY5F9-3233	PWY5F9-3233	AROMATIC-COMPOUNDS-DEGRADATION	RXN-11679	34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN // RXN5F9-56 // RXN-11679	EC-4.1.1.69 // EC-1.3.1 // EC-1.14.12
PWY-7563	PWY-7563	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15899 // RXN-15898 // RXN-15897 // RXN-15896 // RXN-15895 // RXN-15894	EC-6.3.2 // EC-2.3.1
PWY-7007	PWY-7007	Energy-Metabolism		RXN-11026 // RXN-13248 // RXN-13247 // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // BUTYRATE--COA-LIGASE-RXN	EC-1.3.3.6 // EC-4.1.1 // EC-3.1.2 // EC-1.1.1.35 // EC-4.2.1.17 // EC-6.2.1
PWY-6183	PWY-6183	AROMATIC-COMPOUNDS-DEGRADATION		SALICYLATE-1-MONOOXYGENASE-RXN	EC-1.14.13.1
PWY-6789	PWY-6789	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways		3.2.1.72-RXN // 3.2.1.32-RXN	EC-3.2.1.72 // EC-3.2.1.32
PWY0-1465	PWY0-1465	CARBOXYLATES-DEG		1.1.1.83-RXN	EC-1.1.1.83
PWY-6024	PWY-6024	AROMATIC-COMPOUNDS-BIOSYN		RXN-16846 // RXN-16845 // RXN-16840 // RXN-16839 // RXN-16838 // ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-9717 // RXN-9716 // RXN-9715 // RXN-9714	EC-2.4.1 // EC-2.4.1.106
PWY-6937	PWY-6937	Fatty-Acid-and-Lipid-Degradation // Super-Pathways		PWY-6943 // PWY-6944	
PWY-1701	PWY-1701	C1-COMPOUNDS // Super-Pathways		PWY-6967 // PWY-6966	
P601-PWY	P601-PWY	SECONDARY-METABOLITE-DEGRADATION	R541-RXN	RXN-13045 // R547-RXN // R546-RXN // R545-RXN // R544-RXN // R543-RXN // R542-RXN // R541-RXN	EC-1.14.13.160 // EC-6.2.1.38 // EC-1.14.14.108 // EC-1.1.1.327 // EC-1.14.15.1
PWY-1641	PWY-1641	C1-COMPOUNDS		METHANE-MONOOXYGENASE-RXN	EC-1.14.13.25
PWY-8611	PWY-8611	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-25571 // RXN-25572 // RXN-25573 // RXN-25574 // RXN-25575 // RXN-25576 // RXN-25577	EC-2.1.1 // EC-1.1.1.443 // EC-1.13.11.96 // EC-1.14.19 // EC-1.10.3.M2
GLYCOLYSIS-TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	Super-Pathways // Energy-Metabolism		PYRUVDEH-RXN // GLYCOLYSIS // TCA-GLYOX-BYPASS	EC-1.2.1.104
PWY-6917	PWY-6917	Lipid-Biosynthesis		LINOLEOYL-RXN // RXN-8497 // RXN-16219	EC-3.1.2 // EC-1.13.11.58 // EC-1.11.2.3
PWY-8530	PWY-8530	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-24680 // RXN-24664 // RXN-24662 // RXN-24679 // RXN-24678 // RXN-24677 // RXN-24676 // RXN-24675 // RXN-24674 // RXN-24673 // RXN-24672 // RXN-24671 // RXN-24670 // RXN-24668 // RXN-24667 // RXN-24666 // RXN-16914	EC-1.1.99.M8 // EC-1.4.3 // EC-6.2.1.66 // EC-4.2.1 // EC-2.3.1
PWY-6544	PWY-6544	Super-Pathways		RXN-11539 // RXN-11538 // RXN-11537 // PWY-2582 // PWY-699	EC-1.14.14.180
PWY-5717	PWY-5717	Super-Pathways		PWY-2904 // PWY-2464 // PWY-2463	
PWY-4281	PWY-4281	Amino-Acid-Biosynthesis		RXN-6861 // PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN	EC-1.5.1.49 // EC-1.5.1.1
P621-PWY	P621-PWY	Other-Degradation		RXN-14377 // RXN-14376 // 3.5.2.12-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // RXN-3962 // R562-RXN // R561-RXN	EC-3.5.1.46 // EC-3.5.1.117 // EC-3.5.2.12 // EC-1.2.1.63 // EC-2.6.1.116 // EC-3.5.2
PWY-5961	PWY-5961	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-9495	PWY-5960 // PWY-5959 // PWY-5956 // PWY-5955 // PWY-5954	
PWY-8184	PWY-8184	Amino-Acid-Degradation // Energy-Metabolism		RXN-15031 // RXN-19503 // BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-3.1.2 // EC-1.2.7.7 // EC-2.6.1.42
PWY-5475	PWY-5475	AROMATIC-COMPOUNDS-BIOSYN		RXN-8718 // 2.3.1.143-RXN // RXN-8717 // RXN-8716 // 2.3.1.90-RXN // GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.3.1 // EC-2.3.1.143 // EC-2.3.1.90 // EC-2.4.1.136
PWY-8145	PWY-8145	Protein-Modification // Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis		HOLOCYTOCHROME-C-SYNTHASE-RXN	EC-4.4.1.17
PWY-7689	PWY-7689	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-16867 // RXN-16866 // RXN-16865 // RXN-16864 // RXN-16863 // RXN-16862 // RXN-16861 // RXN-16860 // RXN-16859 // RXN-16858 // RXN-16857 // RXN-16856 // RXN-16855	EC-1.1.1 // EC-1.14.13 // EC-2.1.1 // EC-2.3.1
PWY-5476	PWY-5476	AROMATIC-COMPOUNDS-BIOSYN		RXN-8720 // RXN-8719	EC-1.10.3
PWY-8505	PWY-8505	Other-biosynthesis		RXN-24442 // RXN-24441 // RXN-19881 // RXN-24439 // RXN-24438 // RXN-24437 // RXN-24436 // RXN-24435	EC-1.1.1 // EC-2.7.7 // EC-2.6.1
PWY-5194	PWY-5194	Tetrapyrrole-Biosynthesis		RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // SIROHEME-FERROCHELAT-RXN // DIMETHUROPORDEHYDROG-RXN	EC-4.99.1.4 // EC-1.3.1.76
