STATA_FemMicro364,STATA_FemMicro (all small),"STATA_FemMicro (no plate, all small)",Short ID,Id,Danska_ASV,Danska_species,Control,Inoculum,Plate,Sex,Community Sero Status,Consortium,Timepoint,Merged Weeks,Week and Consortium,Sex and Consortium,Sex and Timepoint,poor_quality_sample_exclude,SRA_sample_name,sequencing_plate_number,samples_364_by_seq_asv_table_name
plate3_3909R_0_M_S2_diabetes_S15,plate3_3909r_0_m_s2_diabetes_s15,3909r_0_m_s2_diabetes_s15,3909R_0_M_S2_DIABETES,Plate3_3909R_0_M_S2_DIABETES_S15_L001,,,,,plate3,Male,IAB+,S2,diabetes,diabetes,S2_diabetes,Male_S2,Male_diabetes,,3909R_0_M_S2_diabetes,plate3,Plate3_3909R_0_M_S2_diabetes_S15_L001
plate3_3909R_L_M_S2_diabetes_S16,plate3_3909r_l_m_s2_diabetes_s16,3909r_l_m_s2_diabetes_s16,3909R_L_M_S2_DIABETES,Plate3_3909R_L_M_S2_DIABETES_S16_L001,,,,,plate3,Male,IAB+,S2,diabetes,diabetes,S2_diabetes,Male_S2,Male_diabetes,,3909R_L_M_S2_diabetes,plate3,Plate3_3909R_L_M_S2_diabetes_S16_L001
plate3_3909R_L_M_S2_week5_S52_L0,plate3_3909r_l_m_s2_week5_s52_l0,3909r_l_m_s2_week5_s52_l0,3909R_L_M_S2_week5,Plate3_3909R_L_M_S2_week5_S52_L001,3909R_L_M_S2_week5,3909R_L_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3909R_L_M_S2_week5,plate3,Plate3_3909R_L_M_S2_week5_S52_L001
plate3_3909R_L_M_S2_week9_S77_L0,plate3_3909r_l_m_s2_week9_s77_l0,3909r_l_m_s2_week9_s77_l0,3909R_L_M_S2_week9,Plate3_3909R_L_M_S2_week9_S77_L001,3909R_L_M_S2_week9,3909R_L_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3909R_L_M_S2_week9,plate3,Plate3_3909R_L_M_S2_week9_S77_L001
plate3_3909R_S2_week21_S29_L001,plate3_3909r_s2_week21_s29_l001,3909r_s2_week21_s29_l001,3909R_S2_week21,Plate3_3909R_S2_week21_S29_L001,,,,,plate3,Male,IAB+,S2,week_21,w21,S2_w21,Male_S2,Male_w21,,3909R_S2_week21,plate3,Plate3_3909R_S2_week21_S29_L001
plate3_3918R_0_M_S2_diabetes_S17,plate3_3918r_0_m_s2_diabetes_s17,3918r_0_m_s2_diabetes_s17,3918R_0_M_S2_DIABETES,Plate3_3918R_0_M_S2_DIABETES_S17_L001,,,,,plate3,Male,IAB+,S2,diabetes,,S2_diabetes,Male_S2,Male_diabetes,,3918R_0_M_S2_diabetes,plate3,Plate3_3918R_0_M_S2_diabetes_S17_L001
plate3_3918R_0_M_S2_week5_S53_L0,plate3_3918r_0_m_s2_week5_s53_l0,3918r_0_m_s2_week5_s53_l0,3918R_0_M_S2_week5,Plate3_3918R_0_M_S2_week5_S53_L001,3918R_0_M_S2_week5,3918R_0_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3918R_0_M_S2_week5,plate3,Plate3_3918R_0_M_S2_week5_S53_L001
plate3_3918R_0_M_S2_week9_S78_L0,plate3_3918r_0_m_s2_week9_s78_l0,3918r_0_m_s2_week9_s78_l0,3918R_0_M_S2_week9,Plate3_3918R_0_M_S2_week9_S78_L001,3918R_0_M_S2_week9,3918R_0_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3918R_0_M_S2_week9,plate3,Plate3_3918R_0_M_S2_week9_S78_L001
plate3_3918R_L_M_S2_week5_S54_L0,plate3_3918r_l_m_s2_week5_s54_l0,3918r_l_m_s2_week5_s54_l0,3918R_L_M_S2_week5,Plate3_3918R_L_M_S2_week5_S54_L001,3918R_L_M_S2_week5,3918R_L_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3918R_L_M_S2_week5,plate3,Plate3_3918R_L_M_S2_week5_S54_L001
plate3_3918R_L_M_S2_week9_S79_L0,plate3_3918r_l_m_s2_week9_s79_l0,3918r_l_m_s2_week9_s79_l0,3918R_L_M_S2_week9,Plate3_3918R_L_M_S2_week9_S79_L001,3918R_L_M_S2_week9,3918R_L_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3918R_L_M_S2_week9,plate3,Plate3_3918R_L_M_S2_week9_S79_L001
plate3_3918R_RL_M_S2_week5_S55_L,plate3_3918r_rl_m_s2_week5_s55_l,3918r_rl_m_s2_week5_s55_l,3918R_RL_M_S2_week5,Plate3_3918R_RL_M_S2_week5_S55_L001,3918R_RL_M_S2_week5,3918R_RL_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3918R_RL_M_S2_week5,plate3,Plate3_3918R_RL_M_S2_week5_S55_L001
plate3_3918R_RL_M_S2_week9_S80_L,plate3_3918r_rl_m_s2_week9_s80_l,3918r_rl_m_s2_week9_s80_l,3918R_RL_M_S2_week9,Plate3_3918R_RL_M_S2_week9_S80_L001,3918R_RL_M_S2_week9,3918R_RL_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3918R_RL_M_S2_week9,plate3,Plate3_3918R_RL_M_S2_week9_S80_L001
plate3_3918R_RR_M_S2_week5_S56_L,plate3_3918r_rr_m_s2_week5_s56_l,3918r_rr_m_s2_week5_s56_l,3918R_RR_M_S2_week5,Plate3_3918R_RR_M_S2_week5_S56_L001,3918R_RR_M_S2_week5,3918R_RR_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,3918R_RR_M_S2_week5,plate3,Plate3_3918R_RR_M_S2_week5_S56_L001
plate3_3918R_RR_M_S2_week9_S81_L,plate3_3918r_rr_m_s2_week9_s81_l,3918r_rr_m_s2_week9_s81_l,3918R_RR_M_S2_week9,Plate3_3918R_RR_M_S2_week9_S81_L001,3918R_RR_M_S2_week9,3918R_RR_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,3918R_RR_M_S2_week9,plate3,Plate3_3918R_RR_M_S2_week9_S81_L001
plate3_3918R_S2_week29_S32_L001,plate3_3918r_s2_week29_s32_l001,3918r_s2_week29_s32_l001,3918R_S2_week29,Plate3_3918R_S2_week29_S32_L001,,,,,plate3,Male,IAB+,S2,week_29,w29,S2_w29,Male_S2,Male_w29,,3918R_S2_week29,plate3,Plate3_3918R_S2_week29_S32_L001
plate3_3969R_R_F_S2_diabetes_S18,plate3_3969r_r_f_s2_diabetes_s18,3969r_r_f_s2_diabetes_s18,3969R_R_F_S2_DIABETES,Plate3_3969R_R_F_S2_DIABETES_S18_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,3969R_R_F_S2_diabetes,plate3,Plate3_3969R_R_F_S2_diabetes_S18_L001
plate3_3969R_R_F_S2_Pellet_week9,plate3_3969r_r_f_s2_pellet_week9,3969r_r_f_s2_pellet_week9,3969R_R_F_S2_week9,Plate3_3969R_R_F_S2_week9_S82_L001,3969R_R_F_S2_Pellet_week9,3969R_R_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3969R_R_F_S2_Pellet_week9,plate3,Plate3_3969R_R_F_S2_Pellet_week9_S82_L001
plate3_3969R_R_F_S2_week5_S57_L0,plate3_3969r_r_f_s2_week5_s57_l0,3969r_r_f_s2_week5_s57_l0,3969R_R_F_S2_week5,Plate3_3969R_R_F_S2_week5_S57_L001,3969R_R_F_S2_week5,3969R_R_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3969R_R_F_S2_week5,plate3,Plate3_3969R_R_F_S2_week5_S57_L001
plate3_3969R_S2_week18_S26_L001,plate3_3969r_s2_week18_s26_l001,3969r_s2_week18_s26_l001,3969R_S2_week18,Plate3_3969R_S2_week18_S26_L001,,,,,plate3,Female,IAB+,S2,week_18,w18,S2_w18,Female_S2,Female_w18,,3969R_S2_week18,plate3,Plate3_3969R_S2_week18_S26_L001
plate3_3980R_0_F_S2_diabetes_S19,plate3_3980r_0_f_s2_diabetes_s19,3980r_0_f_s2_diabetes_s19,3980R_0_F_S2_DIABETES,Plate3_3980R_0_F_S2_DIABETES_S19_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,3980R_0_F_S2_diabetes,plate3,Plate3_3980R_0_F_S2_diabetes_S19_L001
plate3_3980R_0_F_S2_week5_S58_L0,plate3_3980r_0_f_s2_week5_s58_l0,3980r_0_f_s2_week5_s58_l0,3980R_0_F_S2_week5,Plate3_3980R_0_F_S2_week5_S58_L001,3980R_0_F_S2_week5,3980R_0_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3980R_0_F_S2_week5,plate3,Plate3_3980R_0_F_S2_week5_S58_L001
plate3_3980R_L_F_S2_Pellet_week9,plate3_3980r_l_f_s2_pellet_week9,3980r_l_f_s2_pellet_week9,3980R_L_F_S2_week9,Plate3_3980R_L_F_S2_week9_S83_L001,3980R_L_F_S2_Pellet_week9,3980R_L_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3980R_L_F_S2_Pellet_week9,plate3,Plate3_3980R_L_F_S2_Pellet_week9_S83_L001
plate3_3980R_L_F_S2_week5_S59_L0,plate3_3980r_l_f_s2_week5_s59_l0,3980r_l_f_s2_week5_s59_l0,3980R_L_F_S2_week5,Plate3_3980R_L_F_S2_week5_S59_L001,3980R_L_F_S2_week5,3980R_L_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3980R_L_F_S2_week5,plate3,Plate3_3980R_L_F_S2_week5_S59_L001
plate3_3980R_R_F_S2_diabetes_S20,plate3_3980r_r_f_s2_diabetes_s20,3980r_r_f_s2_diabetes_s20,3980R_R_F_S2_DIABETES,Plate3_3980R_R_F_S2_DIABETES_S20_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,3980R_R_F_S2_diabetes,plate3,Plate3_3980R_R_F_S2_diabetes_S20_L001
plate3_3980R_R_F_S2_Pellet_week9,plate3_3980r_r_f_s2_pellet_week9,3980r_r_f_s2_pellet_week9,3980R_R_F_S2_week9,Plate3_3980R_R_F_S2_week9_S84_L001,3980R_R_F_S2_Pellet_week9,3980R_R_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3980R_R_F_S2_Pellet_week9,plate3,Plate3_3980R_R_F_S2_Pellet_week9_S84_L001
plate3_3980R_R_F_S2_week5_S60_L0,plate3_3980r_r_f_s2_week5_s60_l0,3980r_r_f_s2_week5_s60_l0,3980R_R_F_S2_week5,Plate3_3980R_R_F_S2_week5_S60_L001,3980R_R_F_S2_week5,3980R_R_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3980R_R_F_S2_week5,plate3,Plate3_3980R_R_F_S2_week5_S60_L001
plate3_3980R_S2_week14_S23_L001,plate3_3980r_s2_week14_s23_l001,3980r_s2_week14_s23_l001,3980R_S2_week14,Plate3_3980R_S2_week14_S23_L001,,,,,plate3,Female,IAB+,S2,week_14,w14,S2_w14,Female_S2,Female_w14,,3980R_S2_week14,plate3,Plate3_3980R_S2_week14_S23_L001
plate3_Negative_extraction_S85_L,plate3_negative_extraction_s85_l,negative_extraction_s85_l,negative_extract_p3,Plate3_Negative_Extraction_S85_L001,,,NEGATIVE,,plate3,,,,,,,,,,Negative_extraction,plate3,Plate3_Negative_extraction_S85_L001
plate3_Negtive_Control_S90_L001,plate3_negtive_control_s90_l001,negtive_control_s90_l001,negative_cntrl_p3,Plate3_Negative_Control_S90_L001,,,NEGATIVE,,plate3,,,,,,,,,,Plate3_Negtive_Control,plate3,Plate3_Negtive_Control_S90_L001
plate3_NS6_defined_inocula_S86_L,plate3_ns6_defined_inocula_s86_l,ns6_defined_inocula_s86_l,NS6_inoculum_p3,Plate3_NS6_Inoculum_S86_L001,Plate3_NS6_defined_inocula,Plate3_NS6_defined_inocula,,1,plate3,,,NS6,,,,,,,NS6_defined_inocula,plate3,Plate3_NS6_defined_inocula_S86_L001
plate3_Positive_Control_S89_L001,plate3_positive_control_s89_L001,plate3_positive_control_s89_l001,positive_cntrl_p3,Plate3_Positive_Control_S89_L001,,,POSITIVE,,plate3,,,,,,,,,,Plate3_Positive_Control,plate3,Plate3_Positive_Control_S89_L001
plate3_S2_defined_inocula_S88_L0,plate3_s2_defined_inocula_s88_l0,s2_defined_inocula_s88_l0,S2_inoculum_p3,Plate3_S2_Inoculum_S88_L001,Plate3_S2_defined_inocula,Plate3_S2_defined_inocula,,1,plate3,,,S2,,,,,,,S2_defined_inocula,plate3,Plate3_S2_defined_inocula_S88_L001
plate3_S5_defined_inocula_S87_L0,plate3_s5_defined_inocula_s87_l0,s5_defined_inocula_s87_l0,S5_inoculum_p3,Plate3_S5_Inoculum_S87_L001,Plate3_S5_defined_inocula,Plate3_S5_defined_inocula,,1,plate3,,,S5,,,,,,,S5_defined_inocula,plate3,Plate3_S5_defined_inocula_S87_L001
plate4_016R_R_F_NS6_week5_S1_L00,plate4_016r_r_f_ns6_week5_s1_l00,016r_r_f_ns6_week5_s1_l00,016R_R_F_NS6_week5,Plate4_016R_R_F_NS6_week5_S1_L001,016R_R_F_NS6_week5,016R_R_F_NS6_week5,,,plate4,Female,IAB-,NS6,week_5,w5,NS6_w5,Female_NS6,Female_w5,,016R_R_F_NS6_week5,plate4,Plate4_016R_R_F_NS6_week5_S1_L001
plate4_036R_0_M_NS1_S62_L001,plate4_036r_0_m_ns1_s62_l001,036r_0_m_ns1_s62_l001,036R_0_M_NS1_week9,Plate4_036R_0_M_NS1_S62_L001,036R_0_M_NS1_week9,036R_0_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,036R_0_M_NS1,plate4,Plate4_036R_0_M_NS1_S62_L001
plate4_036R_0_M_NS1_week5_S41_L0,plate4_036r_0_m_ns1_week5_s41_l0,036r_0_m_ns1_week5_s41_l0,036R_0_M_NS1_week5,Plate4_036R_0_M_NS1_week5_S41_L001,036R_0_M_NS1_week5,036R_0_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,036R_0_M_NS1_week5,plate4,Plate4_036R_0_M_NS1_week5_S41_L001
plate4_036R_L_M_NS1_S63_L001,plate4_036r_l_m_ns1_s63_l001,036r_l_m_ns1_s63_l001,036R_L_M_NS1_week9,Plate4_036R_L_M_NS1_S63_L001,036R_L_M_NS1_week9,036R_L_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,036R_L_M_NS1,plate4,Plate4_036R_L_M_NS1_S63_L001
plate4_036R_L_M_NS1_week5_S42_L0,plate4_036r_l_m_ns1_week5_s42_l0,036r_l_m_ns1_week5_s42_l0,036R_L_M_NS1_week5,Plate4_036R_L_M_NS1_week5_S42_L001,036R_L_M_NS1_week5,036R_L_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,036R_L_M_NS1_week5,plate4,Plate4_036R_L_M_NS1_week5_S42_L001
plate4_036R_NS1_week18_S34_L001,plate4_036r_ns1_week18_s34_l001,036r_ns1_week18_s34_l001,036R_NS1_week18,Plate4_036R_NS1_week18_S34_L001,,,,,plate4,Male,IAB-,NS1,week_18,w18,NS1_w18,Male_NS1,Male_w18,,036R_NS1_week18,plate4,Plate4_036R_NS1_week18_S34_L001
plate4_036R_RL_M_NS1_S64_L001,plate4_036r_rl_m_ns1_s64_l001,036r_rl_m_ns1_s64_l001,036R_RL_M_NS1_week9,Plate4_036R_RL_M_NS1_S64_L001,036R_RL_M_NS1_week9,036R_RL_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,036R_RL_M_NS1,plate4,Plate4_036R_RL_M_NS1_S64_L001
plate4_036R_RL_M_NS1_week5_S43_L,plate4_036r_rl_m_ns1_week5_s43_l,036r_rl_m_ns1_week5_s43_l,036R_RL_M_NS1_week5,Plate4_036R_RL_M_NS1_week5_S43_L001,036R_RL_M_NS1_week5,036R_RL_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,036R_RL_M_NS1_week5,plate4,Plate4_036R_RL_M_NS1_week5_S43_L001
plate4_036R_RR_M_NS1_S65_L001,plate4_036r_rr_m_ns1_s65_l001,036r_rr_m_ns1_s65_l001,036R_RR_M_NS1_week9,Plate4_036R_RR_M_NS1_S65_L001,036R_RR_M_NS1_week9,036R_RR_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,036R_RR_M_NS1,plate4,Plate4_036R_RR_M_NS1_S65_L001
plate4_036R_RR_M_NS1_week5_S44_L,plate4_036r_rr_m_ns1_week5_s44_l,036r_rr_m_ns1_week5_s44_l,036R_RR_M_NS1_week5,Plate4_036R_RR_M_NS1_week5_S44_L001,036R_RR_M_NS1_week5,036R_RR_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,036R_RR_M_NS1_week5,plate4,Plate4_036R_RR_M_NS1_week5_S44_L001
plate4_1030R_RR_M_NS1_week5_S45_,plate4_1030r_rr_m_ns1_week5_s45_,1030r_rr_m_ns1_week5_s45_,1030R_RR_M_NS1_week5,Plate4_1030R_RR_M_NS1_week5_S45_L001,1030R_RR_M_NS1_week5,1030R_RR_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1030R_RR_M_NS1_week5,plate4,Plate4_1030R_RR_M_NS1_week5_S45_L001
plate4_1030R_RR_M_NS1_week9_S66_,plate4_1030r_rr_m_ns1_week9_s66_,1030r_rr_m_ns1_week9_s66_,1030R_RR_M_NS1_week9,Plate4_1030R_RR_M_NS1_week9_S66_L001,1030R_RR_M_NS1_week9,1030R_RR_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1030R_RR_M_NS1_week9,plate4,Plate4_1030R_RR_M_NS1_week9_S66_L001
plate4_1060R_L_M_S5_week5_S12_L0,plate4_1060r_l_m_s5_week5_s12_l0,1060r_l_m_s5_week5_s12_l0,1060R_L_M_S5_week5,Plate4_1060R_L_M_S5_week5_S12_L001,1060R_L_M_S5_week5,1060R_L_M_S5_week5,,,plate4,Male,IAB+,S5,week_5,w5,S5_w5,Male_S5,Male_w5,,1060R_L_M_S5_week5,plate4,Plate4_1060R_L_M_S5_week5_S12_L001
plate4_1075R_0_M_NS6_week5_S2_L0,plate4_1075r_0_m_ns6_week5_s2_l0,1075r_0_m_ns6_week5_s2_l0,1075R_0_M_NS6_week5,Plate4_1075R_0_M_NS6_week5_S2_L001,1075R_0_M_NS6_week5,1075R_0_M_NS6_week5,,,plate4,Male,IAB-,NS6,week_5,w5,NS6_w5,Male_NS6,Male_w5,,1075R_0_M_NS6_week5,plate4,Plate4_1075R_0_M_NS6_week5_S2_L001
plate4_1075R_RL_M_NS6_week5_S3_L,plate4_1075r_rl_m_ns6_week5_s3_l,1075r_rl_m_ns6_week5_s3_l,1075R_RL_M_NS6_week5,Plate4_1075R_RL_M_NS6_week5_S3_L001,1075R_RL_M_NS6_week5,1075R_RL_M_NS6_week5,,,plate4,Male,IAB-,NS6,week_5,w5,NS6_w5,Male_NS6,Male_w5,,1075R_RL_M_NS6_week5,plate4,Plate4_1075R_RL_M_NS6_week5_S3_L001
plate4_1076R_0_M_S5_week5_S13_L0,plate4_1076r_0_m_s5_week5_s13_l0,1076r_0_m_s5_week5_s13_l0,1076R_0_M_S5_week5,Plate4_1076R_0_M_S5_week5_S13_L001,1076R_0_M_S5_week5,1076R_0_M_S5_week5,,,plate4,Male,IAB+,S5,week_5,w5,S5_w5,Male_S5,Male_w5,,1076R_0_M_S5_week5,plate4,Plate4_1076R_0_M_S5_week5_S13_L001
plate4_1121R_L_M_NS1_week5_S46_L,plate4_1121r_l_m_ns1_week5_s46_l,1121r_l_m_ns1_week5_s46_l,1121R_L_M_NS1_week5,Plate4_1121R_L_M_NS1_week5_S46_L001,1121R_L_M_NS1_week5,1121R_L_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1121R_L_M_NS1_week5,plate4,Plate4_1121R_L_M_NS1_week5_S46_L001
plate4_1121R_L_M_NS1_week9_S67_L,plate4_1121r_l_m_ns1_week9_s67_l,1121r_l_m_ns1_week9_s67_l,1121R_L_M_NS1_week9,Plate4_1121R_L_M_NS1_week9_S67_L001,1121R_L_M_NS1_week9,1121R_L_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1121R_L_M_NS1_week9,plate4,Plate4_1121R_L_M_NS1_week9_S67_L001
plate4_1121R_NS1_week19_S35_L001,plate4_1121r_ns1_week19_s35_l001,1121r_ns1_week19_s35_l001,1121R_NS1_week19,Plate4_1121R_NS1_week19_S35_L001,,,,,plate4,Male,IAB-,NS1,week_19,w19,NS1_w5,Male_NS1,Male_w19,,1121R_NS1_week19,plate4,Plate4_1121R_NS1_week19_S35_L001
plate4_1121R_R_M_NS1_week5_S47_L,plate4_1121r_r_m_ns1_week5_s47_l,1121r_r_m_ns1_week5_s47_l,1121R_R_M_NS1_week5,Plate4_1121R_R_M_NS1_week5_S47_L001,1121R_R_M_NS1_week5,1121R_R_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1121R_R_M_NS1_week5,plate4,Plate4_1121R_R_M_NS1_week5_S47_L001
plate4_1121R_R_M_NS1_week9_S68_L,plate4_1121r_r_m_ns1_week9_s68_l,1121r_r_m_ns1_week9_s68_l,1121R_R_M_NS1_week9,Plate4_1121R_R_M_NS1_week9_S68_L001,1121R_R_M_NS1_week9,1121R_R_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1121R_R_M_NS1_week9,plate4,Plate4_1121R_R_M_NS1_week9_S68_L001
plate4_1121R_RL_M_NS1_diabetes_S,plate4_1121r_rl_m_ns1_diabetes_s,1121r_rl_m_ns1_diabetes_s,1121R_RL_M_NS1_DIABETES,Plate4_1121R_RL_M_NS1_DIABETES_S23_L001,,,,,plate4,Male,IAB-,NS1,diabetes,diabetes,NS1_diabetes,Male_NS1,Male_diabetes,,1121R_RL_M_NS1_diabetes,plate4,Plate4_1121R_RL_M_NS1_diabetes_S23_L001
plate4_1121R_RL_M_NS1_week5_S48_,plate4_1121r_rl_m_ns1_week5_s48_,1121r_rl_m_ns1_week5_s48_,1121R_RL_M_NS1_week5,Plate4_1121R_RL_M_NS1_week5_S48_L001,1121R_RL_M_NS1_week5,1121R_RL_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1121R_RL_M_NS1_week5,plate4,Plate4_1121R_RL_M_NS1_week5_S48_L001
plate4_1121R_RL_M_NS1_week9_S69_,plate4_1121r_rl_m_ns1_week9_s69_,1121r_rl_m_ns1_week9_s69_,1121R_RL_M_NS1_week9,Plate4_1121R_RL_M_NS1_week9_S69_L001,1121R_RL_M_NS1_week9,1121R_RL_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1121R_RL_M_NS1_week9,plate4,Plate4_1121R_RL_M_NS1_week9_S69_L001
plate4_1121R_RR_M_NS1_week5_S49_,plate4_1121r_rr_m_ns1_week5_s49_,1121r_rr_m_ns1_week5_s49_,1121R_RR_M_NS1_week5,Plate4_1121R_RR_M_NS1_week5_S49_L001,1121R_RR_M_NS1_week5,1121R_RR_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1121R_RR_M_NS1_week5,plate4,Plate4_1121R_RR_M_NS1_week5_S49_L001
plate4_1121R_RR_M_NS1_week9_S70_,plate4_1121r_rr_m_ns1_week9_s70_,1121r_rr_m_ns1_week9_s70_,1121R_RR_M_NS1_week9,Plate4_1121R_RR_M_NS1_week9_S70_L001,1121R_RR_M_NS1_week9,1121R_RR_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1121R_RR_M_NS1_week9,plate4,Plate4_1121R_RR_M_NS1_week9_S70_L001
plate4_1136R_0_F_S5_week5_S14_L0,plate4_1136r_0_f_s5_week5_s14_l0,1136r_0_f_s5_week5_s14_l0,1136R_0_F_S5_week5,Plate4_1136R_0_F_S5_week5_S14_L001,1136R_0_F_S5_week5,1136R_0_F_S5_week5,,,plate4,Female,IAB+,S5,week_5,w5,S5_w5,Female_S5,Female_w5,,1136R_0_F_S5_week5,plate4,Plate4_1136R_0_F_S5_week5_S14_L001
plate4_1151R_0_M_NS1_week5_S50_L,plate4_1151r_0_m_ns1_week5_s50_l,1151r_0_m_ns1_week5_s50_l,1151R_0_M_NS1_week5,Plate4_1151R_0_M_NS1_week5_S50_L001,1151R_0_M_NS1_week5,1151R_0_M_NS1_week5,,,plate4,Male,IAB-,NS1,week_5,w5,NS1_w5,Male_NS1,Male_w5,,1151R_0_M_NS1_week5,plate4,Plate4_1151R_0_M_NS1_week5_S50_L001
plate4_1151R_0_M_NS1_week9_S71_L,plate4_1151r_0_m_ns1_week9_s71_l,1151r_0_m_ns1_week9_s71_l,1151R_0_M_NS1_week9,Plate4_1151R_0_M_NS1_week9_S71_L001,1151R_0_M_NS1_week9,1151R_0_M_NS1_week9,,,plate4,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10,,1151R_0_M_NS1_week9,plate4,Plate4_1151R_0_M_NS1_week9_S71_L001
plate4_1151R_NS1_week21_S36_L001,plate4_1151r_ns1_week21_s36_l001,1151r_ns1_week21_s36_l001,1151R_NS1_week21,Plate4_1151R_NS1_week21_S36_L001,,,,,plate4,Male,IAB-,NS1,week_21,w21,NS1_w21,Male_NS1,Male_w21,,1151R_NS1_week21,plate4,Plate4_1151R_NS1_week21_S36_L001
plate4_1151R_R_M_NS1_diabetes_S2,plate4_1151r_r_m_ns1_diabetes_s2,1151r_r_m_ns1_diabetes_s2,1151R_L_M_NS1_DIABETES,Plate4_1151R_R_M_NS1_DIABETES_S24_L001,,,,,plate4,Male,IAB-,NS1,diabetes,diabetes,NS1_diabetes,Male_NS1,Male_diabetes,,1151R_R_M_NS1_diabetes,plate4,Plate4_1151R_R_M_NS1_diabetes_S24_L001
